"","variable","clean_variable","group","class","beta_R2","beta_p","n_samples","alpha_test","alpha_level1","alpha_level2","alpha_mean_sd1","alpha_mean_sd2","alpha_rho","alpha_p","beta_fdr_p","alpha_fdr_p"
"1","age_mother","maternal age (years)","maternal","integer",0.001,0.936,283,"spearman",NA,NA,NA,NA,0.067,0.26344,0.981,0.65102
"2","mother_weight","maternal weight (kg)","maternal","numeric",0.004,0.325,283,"spearman",NA,NA,NA,NA,-0.064,0.28645,0.625,0.65102
"3","maternal_education","years of education completed by mother","maternal","integer",0.004,0.261,283,"spearman",NA,NA,NA,NA,-0.046,0.43688,0.54375,0.67347
"4","parity","parity","maternal","integer",0.003,0.49,283,"spearman",NA,NA,NA,NA,0.037,0.54011,0.76562,0.71067
"5","household_income","highest income in household (rupees)","household","integer",0.002,0.752,283,"spearman",NA,NA,NA,NA,0.013,0.83179,0.89524,0.86645
"6","type_house","house made of permanent materials","household","factor",0.005,0.178,283,"wilcoxon","kutcha_mixed","pucca","1428.9 (225.8)","1465.2 (201.1)",NA,0.18614,0.53409,0.65102
"7","water_treat_wami","access to treated water","household","factor",0.001,0.951,266,"wilcoxon","no","yes","1453.3 (211)","1454.2 (212.1)",NA,1,0.981,1
"8","kitchen","kitchen in home","household","factor",0.004,0.228,283,"wilcoxon","no","yes","1439 (215.4)","1458.6 (208.5)",NA,0.43767,0.53409,0.67347
"9","refrigerator","refrigerator in home","household","factor",0.004,0.235,283,"wilcoxon","no","yes","1439.8 (216.7)","1461.9 (205.9)",NA,0.34804,0.53409,0.67347
"10","sanitation","access to sanitation facility","household","factor",0.004,0.353,283,"wilcoxon","no","yes","1443.9 (219.6)","1462.7 (198.9)",NA,0.4849,0.63036,0.67347
"11","crowding_wami","more than 4 people per room","household","factor",0.001,0.883,283,"wilcoxon","up_to_4","over_4","1448.8 (201.9)","1455.7 (219.8)",NA,0.21125,0.981,0.65102
"12","sex_baby","female","infant","factor",0.005,0.185,283,"wilcoxon","male","female","1461.3 (198.4)","1442.5 (223.1)",NA,0.82855,0.53409,0.86645
"13","mode_delivery","delivered by caesarean section","infant","factor",0.007,0.074,283,"wilcoxon","vaginal","caesarean","1442.6 (222.1)","1486.4 (159.9)",NA,0.23622,0.41,0.65102
"14","place_delivery","delivered in tertiary care facility","infant","factor",0.002,0.604,283,"wilcoxon","non_tertiary","tertiary","1447.7 (208.7)","1458.2 (213.8)",NA,0.47459,0.79474,0.67347
"15","breastfed_child","exclusively breastfed","infant","factor",0.022,0.006,283,"wilcoxon","nonexclusive","exclusive","1570.7 (136.8)","1432.7 (214.4)",NA,0,0.15,0
"16","age_at_first_dose","age at first ORV dose (days)","infant","integer",0.011,0.03,283,"spearman",NA,NA,NA,NA,0.116,0.05154,0.25,0.64425
"17","birth_weight","birth weight (kg)","infant","numeric",0.002,0.567,283,"spearman",NA,NA,NA,NA,0.023,0.70279,0.7875,0.79863
"18","antibiotic_exposure","exposed to antibiotics during study","infant","factor",0.001,0.981,283,"wilcoxon","no","yes","1455.5 (215)","1443.9 (199.9)",NA,0.2209,0.981,0.65102
"19","HAZ_6_8w","height-for-age Z score at 6w","infant","numeric",0.003,0.483,282,"spearman",NA,NA,NA,NA,NA,0.39959,0.76562,0.67347
"20","A1AT_BS3_Concugml","A1AT at 6w (μg/ml)","infant","numeric",0.013,0.022,277,"spearman",NA,NA,NA,NA,NA,0.59737,0.25,0.74671
"21","MPO_BS3_Concngml","MPO at 6w (ng/ml)","infant","numeric",0.002,0.642,277,"spearman",NA,NA,NA,NA,NA,0.15863,0.8025,0.65102
"22","AG_Concugml","A1AG at 6w (μg/ml)","infant","numeric",0.005,0.213,281,"spearman",NA,NA,NA,NA,NA,0.10004,0.53409,0.65102
"23","MB1_IgA","maternal RV-IgA (IU/ml)","rotavirus","numeric",0.002,0.549,282,"spearman",NA,NA,NA,NA,NA,0.64657,0.7875,0.76973
"24","BM1_IgA","breastmilk RV-IgA (IU/ml)","rotavirus","numeric",0.007,0.082,278,"spearman",NA,NA,NA,NA,NA,0.17956,0.41,0.65102
"25","pre_exposed","infected with RV neonatally","rotavirus","factor",0.005,0.182,281,"wilcoxon","no","yes","1432.6 (234.4)","1468.6 (187.3)",NA,0.38628,0.53409,0.67347
