"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"112","p2","ungrouped","ungrouped","ungrouped","ungrouped",79.116011,3.812981,100,79.404882,3.218893,100,77.706519,5.746822,100
"1","p1","unmapped","unmapped","unmapped","unmapped",14.181701,4.224279,100,13.86764,3.675324,100,15.714098,6.060762,100
"243","p317","PWY-7111","pyruvate fermentation to isobutanol (engineered)","pyruvate fermentation to isobutanol (engineered) (PWY-7111)","PWY-7111",0.097423,0.024667,100,0.100602,0.023806,100,0.081916,0.023039,100
"397","p456","VALSYN-PWY","L-valine biosynthesis","L-valine biosynthesis (VALSYN-PWY)","VALSYN-PWY",0.0898,0.022769,100,0.092461,0.022097,100,0.076813,0.021675,100
"426","p71","ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)","L-isoleucine biosynthesis I (from threonine) (ILEUSYN-PWY)","ILEUSYN-PWY",0.0898,0.022769,100,0.092461,0.022097,100,0.076813,0.021675,100
"264","p336","PWY-7219","adenosine ribonucleotides de novo biosynthesis","adenosine ribonucleotides de novo biosynthesis (PWY-7219)","PWY-7219",0.075639,0.028008,100,0.077846,0.026879,100,0.06487,0.031024,100
"101","p19","BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched chain amino acid biosynthesis","superpathway of branched chain amino acid biosynthesis (BRANCHED-CHAIN-AA-SYN-PWY)","BRANCHED-CHAIN-AA-SYN-PWY",0.074341,0.021305,100,0.076645,0.021122,100,0.063098,0.018588,100
"61","p153","PWY-5103","L-isoleucine biosynthesis III","L-isoleucine biosynthesis III (PWY-5103)","PWY-5103",0.07168,0.020988,100,0.073834,0.02083,100,0.061173,0.018593,100
"39","p133","PWY-3001","superpathway of L-isoleucine biosynthesis I","superpathway of L-isoleucine biosynthesis I (PWY-3001)","PWY-3001",0.068852,0.021211,100,0.07109,0.021052,100,0.057928,0.018568,100
"215","p292","PWY-6737","starch degradation V","starch degradation V (PWY-6737)","PWY-6737",0.067727,0.027401,100,0.070669,0.027425,100,0.053373,0.022468,100
"386","p446","THRESYN-PWY","superpathway of L-threonine biosynthesis","superpathway of L-threonine biosynthesis (THRESYN-PWY)","THRESYN-PWY",0.064045,0.020958,100,0.066085,0.020813,100,0.054091,0.018854,100
"407","p54","GLYCOCAT-PWY","glycogen degradation I","glycogen degradation I (GLYCOCAT-PWY)","GLYCOCAT-PWY",0.063955,0.029328,99.7,0.067967,0.02842,100,0.044377,0.025785,98.3
"38","p132","PWY-2942","L-lysine biosynthesis III","L-lysine biosynthesis III (PWY-2942)","PWY-2942",0.063921,0.023538,100,0.066758,0.023431,100,0.050079,0.018804,100
"180","p260","PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing) (PWY-6386)","PWY-6386",0.062872,0.01988,100,0.064511,0.019018,100,0.054871,0.022127,100
"181","p261","PWY-6387","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing) (PWY-6387)","PWY-6387",0.062077,0.018811,100,0.063573,0.018026,100,0.05478,0.020923,100
"14","p110","PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (meso-diaminopimelate containing)","peptidoglycan biosynthesis I (meso-diaminopimelate containing) (PEPTIDOGLYCANSYN-PWY)","PEPTIDOGLYCANSYN-PWY",0.060763,0.01858,100,0.062323,0.017938,100,0.053148,0.019901,100
"58","p150","PWY-5097","L-lysine biosynthesis VI","L-lysine biosynthesis VI (PWY-5097)","PWY-5097",0.06063,0.022284,100,0.063469,0.02214,100,0.046776,0.017368,100
"157","p24","COA-PWY-1","superpathway of coenzyme A biosynthesis III (mammals)","superpathway of coenzyme A biosynthesis III (mammals) (COA-PWY-1)","COA-PWY-1",0.059472,0.022267,100,0.061532,0.021678,100,0.049421,0.022557,100
"105","p193","PWY-5686","UMP biosynthesis I","UMP biosynthesis I (PWY-5686)","PWY-5686",0.05946,0.021664,100,0.061366,0.020999,100,0.050162,0.022626,100
"137","p221","PWY-5913","partial TCA cycle (obligate autotrophs)","partial TCA cycle (obligate autotrophs) (PWY-5913)","PWY-5913",0.05899,0.024064,97.7,0.0617,0.023726,97.5,0.045766,0.021321,98.3
"339","p403","PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)","peptidoglycan maturation (meso-diaminopimelate containing) (PWY0-1586)","PWY0-1586",0.05884,0.032068,100,0.057036,0.032294,100,0.06764,0.029656,100
"266","p338","PWY-7221","guanosine ribonucleotides de novo biosynthesis","guanosine ribonucleotides de novo biosynthesis (PWY-7221)","PWY-7221",0.058654,0.019755,100,0.060377,0.020228,100,0.05025,0.01473,100
"393","p452","UDPNAGSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis I","UDP-N-acetyl-D-glucosamine biosynthesis I (UDPNAGSYN-PWY)","UDPNAGSYN-PWY",0.058557,0.020534,100,0.060608,0.019041,100,0.048549,0.024466,100
"147","p230","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","5-aminoimidazole ribonucleotide biosynthesis II (PWY-6122)","PWY-6122",0.058514,0.016571,100,0.060185,0.016572,100,0.050358,0.014059,100
"167","p249","PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","superpathway of 5-aminoimidazole ribonucleotide biosynthesis (PWY-6277)","PWY-6277",0.058514,0.016571,100,0.060185,0.016572,100,0.050358,0.014059,100
"156","p239","PWY-6151","S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine salvage I (PWY-6151)","PWY-6151",0.05818,0.023143,100,0.060219,0.022134,100,0.048229,0.025484,100
"435","p8","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","glycolysis III (from glucose) (ANAGLYCOLYSIS-PWY)","ANAGLYCOLYSIS-PWY",0.057313,0.015426,100,0.058707,0.01518,100,0.050511,0.014922,100
"35","p13","ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)","L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY)","ARGSYN-PWY",0.057284,0.020001,100,0.060093,0.019416,100,0.043575,0.017047,100
"307","p375","PWY-7400","L-arginine biosynthesis IV (archaebacteria)","L-arginine biosynthesis IV (archaebacteria) (PWY-7400)","PWY-7400",0.057226,0.020006,100,0.060036,0.019421,100,0.043515,0.017055,100
"46","p14","ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)","L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)","ARGSYNBSUB-PWY",0.056648,0.020363,100,0.059596,0.01977,100,0.042267,0.016915,100
"41","p135","PWY-3841","folate transformations II (plants)","folate transformations II (plants) (PWY-3841)","PWY-3841",0.056306,0.020534,100,0.057307,0.019892,100,0.05142,0.02298,100
"277","p348","PWY-724","superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","superpathway of L-lysine, L-threonine and L-methionine biosynthesis II (PWY-724)","PWY-724",0.055975,0.01983,100,0.058298,0.019689,100,0.044645,0.016445,100
"59","p151","PWY-5100","pyruvate fermentation to acetate and lactate II","pyruvate fermentation to acetate and lactate II (PWY-5100)","PWY-5100",0.05525,0.02616,100,0.057919,0.024102,100,0.042223,0.031626,100
"201","p28","COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","superpathway of aromatic amino acid biosynthesis (COMPLETE-ARO-PWY)","COMPLETE-ARO-PWY",0.053707,0.017055,100,0.055288,0.017194,100,0.045994,0.014125,100
"421","p67","HISTSYN-PWY","L-histidine biosynthesis","L-histidine biosynthesis (HISTSYN-PWY)","HISTSYN-PWY",0.052938,0.021282,100,0.055621,0.021271,100,0.03985,0.01591,100
"145","p229","PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I","5-aminoimidazole ribonucleotide biosynthesis I (PWY-6121)","PWY-6121",0.051847,0.013533,100,0.053152,0.013545,100,0.045476,0.01162,100
"57","p15","ARO-PWY","chorismate biosynthesis I","chorismate biosynthesis I (ARO-PWY)","ARO-PWY",0.051778,0.015825,100,0.053222,0.015962,100,0.04473,0.013125,100
"223","p3","1CMET2-PWY","folate transformations III (E. coli)","folate transformations III (E. coli) (1CMET2-PWY)","1CMET2-PWY",0.051575,0.017176,100,0.052234,0.01741,100,0.048363,0.015736,100
"42","p136","PWY-4041","&gamma;-glutamyl cycle","gamma-glutamyl cycle (PWY-4041)","PWY-4041",0.051409,0.020939,100,0.05364,0.020755,100,0.040521,0.018405,100
"408","p55","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","glycogen biosynthesis I (from ADP-D-Glucose) (GLYCOGENSYNTH-PWY)","GLYCOGENSYNTH-PWY",0.051282,0.02175,100,0.053904,0.021581,100,0.038488,0.017802,100
"403","p50","GLUCOSE1PMETAB-PWY","glucose and glucose-1-phosphate degradation","glucose and glucose-1-phosphate degradation (GLUCOSE1PMETAB-PWY)","GLUCOSE1PMETAB-PWY",0.050455,0.026025,100,0.053801,0.025398,100,0.03413,0.022847,100
"406","p53","GLUTORN-PWY","L-ornithine biosynthesis I","L-ornithine biosynthesis I (GLUTORN-PWY)","GLUTORN-PWY",0.0502,0.01758,100,0.052701,0.017227,100,0.038,0.013887,100
"158","p240","PWY-6163","chorismate biosynthesis from 3-dehydroquinate","chorismate biosynthesis from 3-dehydroquinate (PWY-6163)","PWY-6163",0.049827,0.016839,100,0.051091,0.017106,100,0.043659,0.014039,100
"178","p259","PWY-6385","peptidoglycan biosynthesis III (mycobacteria)","peptidoglycan biosynthesis III (mycobacteria) (PWY-6385)","PWY-6385",0.049561,0.014685,100,0.050158,0.015421,100,0.046645,0.00997,100
"440","p84","NONMEVIPP-PWY","methylerythritol phosphate pathway I","methylerythritol phosphate pathway I (NONMEVIPP-PWY)","NONMEVIPP-PWY",0.049523,0.01743,100,0.051231,0.017524,100,0.04119,0.014413,100
"168","p25","COA-PWY","coenzyme A biosynthesis I (prokaryotic)","coenzyme A biosynthesis I (prokaryotic) (COA-PWY)","COA-PWY",0.049123,0.022553,100,0.049617,0.022726,100,0.046716,0.021718,100
"224","p30","DAPLYSINESYN-PWY","L-lysine biosynthesis I","L-lysine biosynthesis I (DAPLYSINESYN-PWY)","DAPLYSINESYN-PWY",0.048915,0.021763,100,0.050899,0.02189,100,0.039234,0.018429,100
"376","p437","SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I","superpathway of L-serine and glycine biosynthesis I (SER-GLYSYN-PWY)","SER-GLYSYN-PWY",0.047935,0.020608,100,0.04954,0.021277,100,0.040107,0.01478,100
"43","p137","PWY-4242","9808.661488","no MetaCyc description (PWY-4242)","PWY-4242",0.047701,0.022318,100,0.048488,0.022918,100,0.043859,0.018822,100
"81","p171","PWY-5384","sucrose degradation IV (sucrose phosphorylase)","sucrose degradation IV (sucrose phosphorylase) (PWY-5384)","PWY-5384",0.045619,0.022325,100,0.048318,0.021754,100,0.032451,0.020473,100
"441","p85","NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch) I","pentose phosphate pathway (non-oxidative branch) I (NONOXIPENT-PWY)","NONOXIPENT-PWY",0.044079,0.018486,100,0.044436,0.018494,100,0.042335,0.018512,100
"387","p447","TRNA-CHARGING-PWY","tRNA charging","tRNA charging (TRNA-CHARGING-PWY)","TRNA-CHARGING-PWY",0.043156,0.012598,99.7,0.042293,0.010633,99.6,0.047368,0.019121,100
"369","p430","PYRIDNUCSYN-PWY","NAD de novo biosynthesis I (from aspartate)","NAD de novo biosynthesis I (from aspartate) (PYRIDNUCSYN-PWY)","PYRIDNUCSYN-PWY",0.042675,0.017304,100,0.044744,0.017497,100,0.032578,0.012102,100
"36","p130","PWY-2723","trehalose degradation V","trehalose degradation V (PWY-2723)","PWY-2723",0.042201,0.021843,99.7,0.04506,0.021392,100,0.02825,0.018531,98.3
"26","p121","PWY-1042","glycolysis IV","glycolysis IV (PWY-1042)","PWY-1042",0.041678,0.015413,100,0.040699,0.015854,100,0.04645,0.012062,100
"268","p34","DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis","dTDP-beta-L-rhamnose biosynthesis (DTDPRHAMSYN-PWY)","DTDPRHAMSYN-PWY",0.041597,0.030617,100,0.042694,0.03148,100,0.036247,0.025567,100
"373","p434","RIBOSYN2-PWY","flavin biosynthesis I (bacteria and plants)","flavin biosynthesis I (bacteria and plants) (RIBOSYN2-PWY)","RIBOSYN2-PWY",0.041533,0.025795,100,0.042105,0.026763,100,0.038744,0.020395,100
"108","p196","PWY-5695","inosine 5'-phosphate degradation","inosine 5'-phosphate degradation (PWY-5695)","PWY-5695",0.036299,0.014492,100,0.035031,0.014596,100,0.042485,0.012316,100
"319","p386","PWY-7663","gondoate biosynthesis (anaerobic)","gondoate biosynthesis (anaerobic) (PWY-7663)","PWY-7663",0.036129,0.010903,100,0.035493,0.010759,100,0.039229,0.011162,100
"113","p20","CALVIN-PWY","Calvin-Benson-Bassham cycle","Calvin-Benson-Bassham cycle (CALVIN-PWY)","CALVIN-PWY",0.035869,0.017057,97.1,0.035618,0.017436,96.8,0.037092,0.015147,98.3
"245","p319","PWY-7117","C4 photosynthetic carbon assimilation cycle, PEPCK type","C4 photosynthetic carbon assimilation cycle, PEPCK type (PWY-7117)","PWY-7117",0.035361,0.014956,97.9,0.035989,0.015398,97.5,0.032296,0.012234,100
"412","p59","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","glycolysis I (from glucose 6-phosphate) (GLYCOLYSIS)","GLYCOLYSIS",0.034898,0.01351,99.4,0.034455,0.014015,99.3,0.037063,0.010548,100
"271","p342","PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I","superpathway of adenosine nucleotides de novo biosynthesis I (PWY-7229)","PWY-7229",0.034788,0.016006,100,0.034265,0.016481,100,0.037337,0.013283,100
"149","p232","PWY-6124","inosine-5'-phosphate biosynthesis II","inosine-5'-phosphate biosynthesis II (PWY-6124)","PWY-6124",0.034495,0.014349,100,0.033722,0.014115,100,0.038268,0.015002,100
"232","p307","PWY-6936","seleno-amino acid biosynthesis (plants)","seleno-amino acid biosynthesis (plants) (PWY-6936)","PWY-6936",0.033588,0.014759,100,0.033049,0.01465,100,0.036214,0.015133,100
"148","p231","PWY-6123","inosine-5'-phosphate biosynthesis I","inosine-5'-phosphate biosynthesis I (PWY-6123)","PWY-6123",0.033469,0.013787,100,0.032931,0.013776,100,0.036093,0.013656,100
"423","p69","HSERMETANA-PWY","L-methionine biosynthesis III","L-methionine biosynthesis III (HSERMETANA-PWY)","HSERMETANA-PWY",0.032173,0.016725,100,0.033183,0.017494,100,0.02725,0.011169,100
"191","p270","PWY-6527","stachyose degradation","stachyose degradation (PWY-6527)","PWY-6527",0.03203,0.01175,100,0.032093,0.010423,100,0.031718,0.016908,100
"78","p169","PWY-5347","superpathway of L-methionine biosynthesis (transsulfuration)","superpathway of L-methionine biosynthesis (transsulfuration) (PWY-5347)","PWY-5347",0.031281,0.014145,99.1,0.03063,0.01428,98.9,0.034458,0.01312,100
"322","p389","PWY-841","superpathway of purine nucleotides de novo biosynthesis I","superpathway of purine nucleotides de novo biosynthesis I (PWY-841)","PWY-841",0.030649,0.012744,100,0.030274,0.01316,100,0.032479,0.010388,100
"317","p384","PWY-7560","methylerythritol phosphate pathway II","methylerythritol phosphate pathway II (PWY-7560)","PWY-7560",0.030342,0.007747,99.7,0.030325,0.007897,99.6,0.030425,0.00703,100
"442","p86","OANTIGEN-PWY","O-antigen building blocks biosynthesis (E. coli)","O-antigen building blocks biosynthesis (E. coli) (OANTIGEN-PWY)","OANTIGEN-PWY",0.030278,0.016741,100,0.03054,0.016628,100,0.029004,0.017378,100
"68","p16","ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY)","ASPASN-PWY",0.030109,0.013339,99.7,0.028821,0.013181,99.6,0.036391,0.012382,100
