,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,0.0209947,0.042799652,unmapped,unmapped,unmapped,unmapped,99,99,100,14.17555416,4.031612368,33,33,100,13.39987879,3.176694631,NA,NA,NA,0.518026123,NA,NA,NA,0.963173036,-0.775675375,0,FALSE,FALSE,95,0,33,0.5,0.384615385,0.571428571,-0.010703885,0.010868708,0.326534466,seroconv1,0.94538448,132,132,-0.011001464,0.01125901,0.330394359,0.67018906,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
2,p10,0.012137503,0.023727513,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,86,99,86.9,0.007708632,0.008224635,27,33,81.8,0.00632067,0.008062179,0.567228607,0.475996006,0.316684749,0.269055916,0.833979357,0.74408571,0.503732466,0.963173036,-0.001387962,-5.1,FALSE,FALSE,246,0,33,0.5,0.384615385,0.571428571,-0.001000546,0.000999596,0.318710457,seroconv1,0.94538448,132,113,-0.000964683,0.001006463,0.33966717,0.674286464,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
3,p100,0.011779332,0.025286634,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,20,99,20.2,0.000307894,0.00101987,9,33,27.3,0.00019408,0.000535543,0.467295714,0.397294439,0.331076791,0.53275896,0.765689363,0.708306246,0.517688174,0.963173036,-0.000113814,7.1,FALSE,TRUE,259,0,33,0.5,0.384615385,0.571428571,-4.61E-05,0.000311006,0.882460863,seroconv1,0.990331163,132,29,-2.52E-05,0.000325319,0.938426431,0.978991764,0.990331163,0.977751234,India (unexposed),IND (neo-),Pathway
4,p101,0.038993036,0.073755293,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,97,99,98,0.02876117,0.01165526,32,33,97,0.026894096,0.011609702,NA,NA,NA,0.504506833,NA,NA,NA,0.963173036,-0.001867074,-1,FALSE,FALSE,8,1,33,0.5,0.384615385,0.571428571,-0.000722797,0.000896633,0.42164377,seroconv1,0.94538448,132,129,-0.000798103,0.000927256,0.391042796,0.713159226,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
5,p102,0.017049832,0.033458606,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,87,99,87.9,0.003262417,0.002961579,23,33,69.7,0.003186226,0.003737499,0.028030322,0.018679999,0.004773474,0.379046292,0.6185977,0.583948363,0.298475116,0.963173036,-7.62E-05,-18.2,FALSE,FALSE,160,0,33,0.5,0.384615385,0.571428571,-0.000579723,0.000619238,0.350912275,seroconv1,0.94538448,132,110,-0.000751322,0.000621361,0.228885252,0.58835403,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
6,p103,0.015194125,0.032264604,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,93,99,93.9,0.019531905,0.011837571,29,33,87.9,0.016575052,0.013218299,0.26699138,0.263560346,0.098281758,0.188817316,0.678707058,0.64089585,0.298475116,0.963173036,-0.002956854,-6,FALSE,FALSE,188,0,33,0.5,0.384615385,0.571428571,-0.001710567,0.001136787,0.134816925,seroconv1,0.94538448,132,122,-0.001954694,0.001156126,0.093381089,0.465885885,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
7,p104,0.01076788,0.020270545,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,93,99,93.9,0.01710037,0.014469775,29,33,87.9,0.015774955,0.016142471,0.26699138,0.263560346,0.173132383,0.442828194,0.678707058,0.64089585,0.353820417,0.963173036,-0.001325415,-6,FALSE,FALSE,281,0,33,0.5,0.384615385,0.571428571,-0.001018971,0.001308727,0.437631847,seroconv1,0.94538448,132,122,-0.001315426,0.001313646,0.318589609,0.659408341,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
8,p105,0.013138226,0.032428001,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,18,99,18.2,0.000211714,0.000894035,8,33,24.2,0.000267964,0.000585333,0.456090014,0.449899037,0.297574845,0.338382651,0.765689363,0.737183965,0.483998341,0.963173036,5.62E-05,6,TRUE,TRUE,229,0,33,0.5,0.384615385,0.571428571,0.000256407,0.000279432,0.360527625,seroconv1,0.94538448,132,26,0.000237455,0.000269471,0.379904764,0.701362642,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
9,p106,0.019956824,0.044061479,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,55,99,55.6,0.000759971,0.001403686,15,33,45.5,0.000311854,0.000692913,0.323342296,0.315430862,0.41202033,0.136867033,0.706802903,0.673721268,0.585750719,0.963173036,-0.000448118,-10.1,FALSE,FALSE,108,0,33,0.5,0.384615385,0.571428571,-0.000709563,0.00040204,0.079927523,seroconv1,0.94538448,132,70,-0.000500396,0.000394346,0.206825247,0.571658378,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
10,p107,0.020461394,0.040074546,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,98,99,99,0.018393996,0.012208963,32,33,97,0.016693418,0.015711455,NA,NA,NA,0.188028985,NA,NA,NA,0.963173036,-0.001700578,-2,FALSE,FALSE,100,0,33,0.5,0.384615385,0.571428571,-0.001317066,0.00105477,0.214027439,seroconv1,0.94538448,132,130,-0.001660471,0.001068177,0.122595787,0.480861147,0.94538448,0.814446263,India (unexposed),IND (neo-),Pathway
