"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Streptococcus",0.456769077900289,0.805389918901438,"Streptococcus","Streptococcus",92,91,92,1,0.989130434782609,0.0990421739130435,0.0836600142889455,60,58,60,1,0.966666666666667,0.0958533333333333,0.101717200163195,1,0.562286510979435,NA,NA,NA,NA,0,0.022463768115942,FALSE,TRUE,1,1,50,"ns","ns",0.465,0.0927960727138337
"Veillonella",0.456125401659411,0.801058944398468,"Veillonella","Veillonella",85,77,92,0.923913043478261,0.83695652173913,0.077855652173913,0.113621571385831,53,48,60,0.883333333333333,0.8,0.100368666666667,0.143263479555898,0.40577138929232,0.664943760443921,0.897615497525436,0,0.953930055700229,0,0.0405797101449276,0.0369565217391304,TRUE,TRUE,2,1,50,"ns","ns",0.465,0.0927960727138337
"Escherichia/Shigella",0.430450525812326,0.761186876087919,"Escherichia/Shigella","Escherichia/Shigella",89,84,92,0.967391304347826,0.91304347826087,0.132657391304348,0.13984344833231,57,56,60,0.95,0.933333333333333,0.121899333333333,0.142697277109492,0.680935016651692,0.764724083338527,1,0,0.953930055700229,0,0.0173913043478261,-0.0202898550724638,TRUE,FALSE,3,1,50,"ns","ns",0.465,0.0927960727138337
"Staphylococcus",0.428099373771298,0.751605746144624,"Staphylococcus","Staphylococcus",88,51,92,0.956521739130435,0.554347826086957,0.00647608695652174,0.0136848433811272,55,32,60,0.916666666666667,0.533333333333333,0.0104746666666667,0.0304038048169079,0.318570438302873,0.868108736414561,0.894447769081144,0,0.961120386744693,0,0.0398550724637682,0.0210144927536232,TRUE,TRUE,4,1,50,"ns","ns",0.465,0.0927960727138337
"Klebsiella",0.42308295665014,0.745361668275074,"Klebsiella","Klebsiella",80,64,92,0.869565217391304,0.695652173913043,0.0441386956521739,0.0981090166372731,57,46,60,0.95,0.766666666666667,0.0588793333333333,0.112156349342572,0.162939293275862,0.360419794484482,0.839203282240222,0,0.953930055700229,0,-0.0804347826086956,-0.0710144927536233,FALSE,FALSE,5,1,50,"ns","ns",0.465,0.0927960727138337
"Bifidobacterium",0.414249362063447,0.733173783740188,"Bifidobacterium","Bifidobacterium",92,92,92,1,1,0.47711652173913,0.241520651524965,60,59,60,1,0.983333333333333,0.430806,0.241196551997729,1,0.394736842105263,NA,NA,NA,NA,0,0.0166666666666667,FALSE,TRUE,6,1,50,"ns","ns",0.465,0.0927960727138337
"Enterococcus",0.364221739388508,0.638024556595624,"Enterococcus","Enterococcus",68,43,92,0.739130434782609,0.467391304347826,0.0123604347826087,0.0320615515145972,45,31,60,0.75,0.516666666666667,0.018242,0.038049615013977,1,0.61950343435612,1,0,0.953930055700229,0,-0.0108695652173914,-0.0492753623188406,FALSE,FALSE,7,1,50,"ns","ns",0.465,0.0927960727138337
"Rothia",0.35727426047553,0.636331024429947,"Rothia","Rothia",77,46,92,0.83695652173913,0.5,0.00278869565217391,0.00472488972309042,43,23,60,0.716666666666667,0.383333333333333,0.00271333333333333,0.00585018460281431,0.102843772846398,0.183988574877906,0.839203282240222,0,0.953930055700229,0,0.120289855072464,0.116666666666667,TRUE,TRUE,8,1,50,"ns","ns",0.465,0.0927960727138337
"Lactobacillus",0.35539764471072,0.626489282721106,"Lactobacillus","Lactobacillus",65,53,92,0.706521739130435,0.576086956521739,0.0474726086956522,0.100930750352637,37,30,60,0.616666666666667,0.5,0.0356333333333333,0.0797499975594637,0.290646788995829,0.406183869118658,0.894447769081144,0,0.953930055700229,0,0.0898550724637681,0.0760869565217391,TRUE,TRUE,9,1,50,"ns","ns",0.465,0.0927960727138337
"Corynebacterium_1",0.315402303518136,0.568205734336247,"Corynebacterium_1","Corynebacterium_1",66,3,92,0.717391304347826,0.0326086956521739,0.000204782608695652,0.000267825916319651,36,0,60,0.6,0,0.000127333333333333,0.000182709055249204,0.158626948335989,0.278494248867201,0.839203282240222,0,NA,NA,0.117391304347826,0.0326086956521739,TRUE,TRUE,10,1,50,"ns","ns",0.465,0.0927960727138337
"Enterobacter",0.263164791043385,0.467344592214397,"Enterobacter","Enterobacter",40,18,92,0.434782608695652,0.195652173913043,0.00444826086956522,0.02001317679165,21,6,60,0.35,0.1,0.00173466666666667,0.00735309907377159,0.315024536170057,0.171213186050756,0.894447769081144,0,0.953930055700229,0,0.0847826086956522,0.0956521739130435,TRUE,TRUE,11,1,50,"ns","ns",0.465,0.0927960727138337
"Gemella",0.255377273487002,0.451174734165957,"Gemella","Gemella",56,5,92,0.608695652173913,0.0543478260869565,0.000249130434782609,0.00046727089861227,32,4,60,0.533333333333333,0.0666666666666667,0.000374,0.00129840214709974,0.402541434497816,0.73973621632264,0.897615497525436,0,0.953930055700229,0,0.0753623188405798,-0.0123188405797101,TRUE,FALSE,12,1,50,"ns","ns",0.465,0.0927960727138337
"Dolosigranulum",0.247211561110033,0.457918792748461,"Dolosigranulum","Dolosigranulum",48,4,92,0.521739130434783,0.0434782608695652,0.000212608695652174,0.000473951983391691,24,0,60,0.4,0,0.000108,0.000205721549508561,0.183678753940338,0.153540859125903,0.839203282240222,0,NA,NA,0.121739130434783,0.0434782608695652,TRUE,TRUE,13,1,50,"ns","ns",0.465,0.0927960727138337
