"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.032,0.01,0.00076,0.000936744186046512,"zinb","Bifidobacterium","positively correlated",3.02837899369801,53,0,"age",0.878179384203481,0.0327855335530213
"Streptococcus",0.027,0.006,8.9e-06,1.20948717948718e-05,"nb","Streptococcus","positively correlated",4.9173987307808,53,0,"age",0.989290495314592,0.332975049919496
"Staphylococcus",-0.131,0.008,2.9e-46,5.12333333333333e-45,"nb","Staphylococcus","negatively correlated",44.2904473872199,53,0,"age",0.970548862115127,0.192279652381765
"Veillonella",0.179,0.009,3.2e-62,8.48e-61,"zinb","Veillonella","positively correlated",60.0716041477433,53,0,"age",0.597054886211513,0.0449467832513459
"Lactobacillus",0.111,0.01,1.1e-23,5.3e-23,"zinb","Lactobacillus","positively correlated",22.2757241303992,53,0,"age",0.274431057563588,0.00518039844737027
"Collinsella",0.045,0.008,1.4e-07,2.00540540540541e-07,"zinb","Collinsella","positively correlated",6.69779781878797,53,0,"age",0.293172690763052,0.00340875826225773
"Haemophilus",-0.035,0.008,1.7e-05,2.2525e-05,"zinb","Haemophilus","negatively correlated",4.6473352003489,53,0,"age",0.261044176706827,0.00294309027314307
"Klebsiella",-0.092,0.009,1.6e-20,5.65333333333333e-20,"zinb","Klebsiella","negatively correlated",19.247695406799,53,0,"age",0.350736278447122,0.00440432693514877
"Enterococcus",-0.002,0.007,0.79,0.79,"zinb","Enterococcus","ns",0.102372908709559,53,0,"age",0.216867469879518,0.0020924641786733
"Rothia",0.019,0.009,0.028,0.0315744680851064,"zinb","Rothia","positively correlated",1.50066395699271,53,0,"age",0.733601070950469,0.0239276164454587
"Gemella",-0.052,0.008,8.6e-10,1.51933333333333e-09,"zinb","Gemella","negatively correlated",8.81834693387531,53,0,"age",0.491298527443106,0.0129608883643037
"Bacillus",0.061,0.009,3.8e-12,7.74615384615385e-12,"zinb","Bacillus","positively correlated",11.1109138817532,53,0,"age",0.279785809906292,0.00219095481775893
"Pseudomonas",0.036,0.009,0.00016,0.000206829268292683,"zinb","Pseudomonas","positively correlated",3.68438800446302,53,0,"age",0.925033467202142,0.0284795261512479
"Cutibacterium",0.078,0.009,7.1e-18,2.09055555555556e-17,"zinb","Cutibacterium","positively correlated",16.6797382867834,53,0,"age",0.796519410977242,0.0130636349601156
"Enterobacter",-0.043,0.007,6.2e-09,1.026875e-08,"zinb","Enterobacter","negatively correlated",7.98848241922086,53,0,"age",0.204819277108434,0.000910049424294835
"Acinetobacter",0.026,0.011,0.024,0.0276521739130435,"nb","Acinetobacter","positively correlated",1.55827072036918,53,0,"age",0.966532797858099,0.0701402045781708
"Enhydrobacter",0.075,0.008,1e-17,2.78947368421053e-17,"zinb","Enhydrobacter","positively correlated",16.554477731352,53,0,"age",0.578313253012048,0.00719204863772691
"Corynebacterium_1",0.014,0.009,0.095,0.102755102040816,"nb","Corynebacterium_1","ns",0.988196605138877,53,0,"age",0.951807228915663,0.0822334022347452
"Hydrogenophilus",0.128,0.009,8.9e-37,6.73857142857143e-36,"zinb","Hydrogenophilus","positively correlated",35.1714321637686,53,0,"age",0.508701472556894,0.00891283302916418
"Bradyrhizobium",0.07,0.009,1.9e-15,4.7952380952381e-15,"zinb","Bradyrhizobium","positively correlated",14.3191898241803,53,0,"age",0.216867469879518,0.00752766083893854
"Dermacoccus",0.023,0.008,0.0031,0.00373409090909091,"zinb","Dermacoccus","positively correlated",2.42781511305113,53,0,"age",0.207496653279786,0.00447844572374757
"Paracoccus",0.052,0.009,2.1e-08,3.27352941176471e-08,"zinb","Paracoccus","positively correlated",7.48498375270755,53,0,"age",0.85140562248996,0.0211686571768243
"Granulicatella",0.104,0.008,2.8e-30,1.855e-29,"zinb","Granulicatella","positively correlated",28.7316560860489,53,0,"age",0.315930388219545,0.00388651425063816
"Micrococcus",0.07,0.008,7.7e-17,2.0405e-16,"zinb","Micrococcus","positively correlated",15.6902634008907,53,0,"age",0.753681392235609,0.0117355921749822
"Kocuria",0.08,0.008,1.1e-22,4.85833333333333e-22,"zinb","Kocuria","positively correlated",21.3135126912886,53,0,"age",0.63855421686747,0.00877145459361198
"S31",0.141,0.009,3.9e-43,5.1675e-42,"zinb","S31","positively correlated",41.2867195147007,53,0,"age",0.42570281124498,0.00481546487975439
"Janibacter",0.052,0.008,2.7e-11,5.11071428571429e-11,"zinb","Janibacter","positively correlated",10.2915183975824,53,0,"age",0.334672021419009,0.00299596657169353
"Aeromonas",0.068,0.009,9.6e-15,2.31272727272727e-14,"zinb","Aeromonas","positively correlated",13.6358755781818,53,0,"age",0.461847389558233,0.00466317960281237
"Aerococcus",0.039,0.007,2.9e-08,4.39142857142857e-08,"zinb","Aerococcus","positively correlated",7.35739417685053,53,0,"age",0.218206157965194,0.00115374772291497
"Shewanella",0.086,0.008,4.8e-25,2.544e-24,"zinb","Shewanella","positively correlated",23.5944828930236,53,0,"age",0.244979919678715,0.0019363830601053
"Chryseobacterium",0.055,0.008,1.9e-11,3.72962962962963e-11,"zinb","Chryseobacterium","positively correlated",10.4283342936054,53,0,"age",0.243641231593039,0.00117811658838714
"Cloacibacterium",0.113,0.008,2.1e-37,1.855e-36,"zinb","Cloacibacterium","positively correlated",35.7316560860489,53,0,"age",0.261044176706827,0.00303285291639796
"Rheinheimera",0.004,0.008,0.6,0.623529411764706,"zinb","Rheinheimera","ns",0.205143056113504,53,0,"age",0.319946452476573,0.00302883645219085
"Exiguobacterium",0.08,0.008,4e-22,1.51428571428571e-21,"zinb","Exiguobacterium","positively correlated",20.8197921747495,53,0,"age",0.340026773761714,0.00379747551276539
"Actinomyces",0.009,0.011,0.41,0.4346,"zinb","Actinomyces","ns",0.361910278015494,53,0,"age",0.211512717536814,0.0029831098944845
"Alishewanella",0.021,0.009,0.013,0.0153111111111111,"zinb","Alishewanella","positively correlated",1.81499329186772,53,0,"age",0.36144578313253,0.00376494461390908
"Brachybacterium",0.043,0.008,3.9e-08,5.74166666666667e-08,"zinb","Brachybacterium","positively correlated",7.24096202414,53,0,"age",0.389558232931727,0.00289244313750016
"Rubellimicrobium",0.068,0.009,1.5e-12,3.3125e-12,"zinb","Rubellimicrobium","positively correlated",11.4798441130551,53,0,"age",0.342704149933066,0.00407102579565448
"Brevundimonas",0.086,0.009,4.2e-20,1.30941176470588e-19,"zinb","Brevundimonas","positively correlated",18.8829237613796,53,0,"age",0.285140562248996,0.00254794914438271
"Stenotrophomonas",0.057,0.008,3.7e-12,7.74615384615385e-12,"zinb","Stenotrophomonas","positively correlated",11.1109138817532,53,0,"age",0.243641231593039,0.00167395934774948
"Geobacillus",0.103,0.009,1.6e-26,9.42222222222222e-26,"zinb","Geobacillus","positively correlated",25.0258466571826,53,0,"age",0.228915662650602,0.00314302526733438
"Bergeyella",0.025,0.007,5e-04,0.000630952380952381,"zinb","Bergeyella","positively correlated",3.20000341646109,53,0,"age",0.223560910307898,0.00154734579214916
"Moraxella",0.039,0.008,5e-06,6.97368421052632e-06,"zinb","Moraxella","positively correlated",5.15653772268,53,0,"age",0.254350736278447,0.00283633603583704
"Saccharopolyspora",0.058,0.009,4.9e-11,8.9551724137931e-11,"zinb","Saccharopolyspora","positively correlated",10.0479260482697,53,0,"age",0.313253012048193,0.00192999307895032
"Anaerococcus",0.02,0.009,0.03,0.033125,"zinb","Anaerococcus","positively correlated",1.47984411305514,53,0,"age",0.27710843373494,0.00282877749449226
"Comamonas",-0.003,0.011,0.78,0.79,"zinb","Comamonas","ns",0.102372908709559,53,0,"age",0.336010709504685,0.00218371232571356
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.046,0.008,6.5e-09,1.04393939393939e-08,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","positively correlated",7.98132471363424,53,0,"age",0.246318607764391,0.00182003792715072
"Qipengyuania",0.095,0.01,2.9e-20,9.60625e-20,"zinb","Qipengyuania","positively correlated",19.0174461151562,53,0,"age",0.224899598393574,0.00206407602494824
"Brevibacterium",0.052,0.008,9e-10,1.53870967741935e-09,"zinb","Brevibacterium","positively correlated",8.81284331479416,53,0,"age",0.223560910307898,0.0011282462392835
"Ornithinimicrobium",0.09,0.009,4e-22,1.51428571428571e-21,"zinb","Ornithinimicrobium","positively correlated",20.8197921747495,53,0,"age",0.330655957161981,0.00169101088969543
"Deinococcus",0.112,0.001,7.3e-278,3.869e-276,"zinb","Deinococcus","positively correlated",275.412401270279,53,0,"age",0.239625167336011,0.00175575499696453
