"","sample_subset","median_tst_lm_R2","q3_tst_lm_R2","q1_tst_lm_R2","country"
"1","BM1",0.0185,0.048675,0.004125,"India"
"2","BM1",0.0381,0.0825,0.01445,"India (exposed)"
"3","BM1",0.01675,0.04765,0.002375,"India (unexposed)"
"4","BM1",0.03815,0.09275,0.0096,"Malawi"
"5","BM1",0.12945,0.302225,0.031975,"UK"
"6","BM2",0.00885,0.021825,0.00125,"India"
"7","BM2",0.0323,0.09165,0.008425,"India (exposed)"
"8","BM2",0.01225,0.0427,0.00265,"India (unexposed)"
"9","BM2",0.0776,0.1624,0.013725,"Malawi"
"10","BM2",0.18325,0.37325,0.050375,"UK"
"11","BM3",0.0204,0.040325,0.005025,"India"
"12","BM3",0.0172,0.045175,0.00445,"India (exposed)"
"13","BM3",0.0213,0.073475,0.005025,"India (unexposed)"
"14","BM3",0.0258,0.06445,0.005275,"Malawi"
"15","BM3",0.055,0.130775,0.00925,"UK"
