"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"1","age_mother","79",NA,NA,"-0.014","1.00 (0.98-1.02)","1.00","0.98","1.02","0.9050",0.981
"12","sex_baby","79","male (n = 40), 2 (1.5-2.5)","female (n = 39), 1.7 (1.2-2.2)",NA,"0.77 (0.60-0.98)","0.77","0.60","0.98","0.0340",0.408
"13","mode_delivery","79",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","breastfed_child","79","nonexclusive (n = 7), 1.7 (1.4-2)","exclusive (n = 72), 1.8 (1.2-2.4)",NA,NA,NA,NA,NA,NA,NA
"16","age_at_first_dose","74",NA,NA,"-0.039","0.97 (0.82-1.15)","0.97","0.82","1.15","0.7411",0.981
"17","birth_weight","79",NA,NA,"0.121","1.17 (0.87-1.56)","1.17","0.87","1.56","0.2892",0.868
"18","HIV_status","76","negative (n = 55), 1.8 (1.3-2.3)","positive (n = 21), 1.8 (1.2-2.4)",NA,"1.01 (0.76-1.35)","1.01","0.76","1.35","0.9381",0.981
"19","antibiotic_exposure","79","no (n = 56), 1.8 (1.2-2.4)","yes (n = 23), 1.8 (1.2-2.4)",NA,"0.97 (0.74-1.28)","0.97","0.74","1.28","0.8476",0.981
"20","HAZ_6_8w","74",NA,NA,"0.003","1.00 (0.91-1.10)","1.00","0.91","1.10","0.9806",0.981
"21","A1AT_BS3_Concugml","57",NA,NA,"0.042","1.01 (0.93-1.10)","1.01","0.93","1.10","0.7587",0.981
"22","MPO_BS3_Concngml","57",NA,NA,"-0.062","0.97 (0.83-1.12)","0.97","0.83","1.12","0.6478",0.981
"23","AG_Concugml","61",NA,NA,"-0.165","0.85 (0.66-1.09)","0.85","0.66","1.09","0.2046",0.818
"24","MB1_IgA","70",NA,NA,"-0.178","0.94 (0.87-1.02)","0.94","0.87","1.02","0.1395",0.818
"25","BM1_IgA","52",NA,NA,"0.005","1.00 (0.81-1.25)","1.00","0.81","1.25","0.9726",0.981
"26","pre_exposed","58","no (n = 51), 1.8 (1.3-2.3)","yes (n = 7), 1.5 (1.2-1.8)",NA,NA,NA,NA,NA,NA,NA
