"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"12","sex_baby","39","male (n = 22), 1.4 (0.9-1.9)","female (n = 17), 1.5 (0.9-2.1)",NA,"1.06 (0.75-1.52)","1.06","0.75","1.52","0.7229",0.852
"13","mode_delivery","39","vaginal (n = 38), 1.4 (0.9-1.9)","caesarean (n = 1), 1.2 (NA-NA)",NA,NA,NA,NA,NA,NA,NA
"15","breastfed_child","39","nonexclusive (n = 15), 1.5 (1-2)","exclusive (n = 24), 1.3 (0.7-1.9)",NA,"0.82 (0.57-1.16)","0.82","0.57","1.16","0.2536",0.676
"16","age_at_first_dose","39",NA,NA,"0.274","1.03 (0.99-1.07)","1.03","0.99","1.07","0.0909",0.676
"17","birth_weight","39",NA,NA,"-0.196","0.78 (0.52-1.18)","0.78","0.52","1.18","0.2311",0.676
"19","antibiotic_exposure","39","no (n = 35), 1.4 (0.9-1.9)","yes (n = 4), 1.7 (1-2.4)",NA,NA,NA,NA,NA,NA,NA
"21","A1AT_BS3_Concugml","27",NA,NA,"0.066","1.02 (0.92-1.13)","1.02","0.92","1.13","0.7451",0.852
"22","MPO_BS3_Concngml","27",NA,NA,"0.017","1.01 (0.84-1.21)","1.01","0.84","1.21","0.9337",0.934
"24","MB1_IgA","36",NA,NA,"-0.116","0.96 (0.86-1.08)","0.96","0.86","1.08","0.5017",0.852
"25","BM1_IgA","23",NA,NA,"0.091","1.04 (0.86-1.25)","1.04","0.86","1.25","0.6805",0.852
