"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.058,0.014,6.3e-05,0.00011025,"zinb","Bifidobacterium","positively correlated",3.95762140186012,49,0,"age",0.869436201780415,0.0373598477948381
"Streptococcus",0.016,0.009,0.088,0.102666666666667,"nb","Streptococcus","ns",0.988570538219218,49,0,"age",0.98813056379822,0.321975753771669
"Staphylococcus",-0.139,0.012,4.8e-23,4.704e-22,"nb","Staphylococcus","negatively correlated",21.3275326869319,49,0,"age",0.961424332344214,0.193095765430152
"Veillonella",0.166,0.014,3.2e-26,7.84e-25,"zinb","Veillonella","positively correlated",24.1056839373156,49,0,"age",0.626112759643917,0.0513659859574295
"Lactobacillus",0.158,0.016,8.8e-19,5.39e-18,"zinb","Lactobacillus","positively correlated",17.2684112348133,49,0,"age",0.255192878338279,0.0038560094404373
"Collinsella",0.078,0.013,5.4e-09,1.65375e-08,"zinb","Collinsella","positively correlated",7.78153014280444,49,0,"age",0.317507418397626,0.00436682913559932
"Haemophilus",0.046,0.01,2.8e-06,6.53333333333333e-06,"zinb","Haemophilus","positively correlated",5.18486518336319,49,0,"age",0.237388724035608,0.00235359776848228
"Klebsiella",-0.163,0.013,6.8e-27,3.332e-25,"zinb","Klebsiella","negatively correlated",24.4772950072653,49,0,"age",0.29080118694362,0.00389720707699005
"Rothia",0.005,0.013,0.72,0.72,"zinb","Rothia","ns",0.142667503568732,49,0,"age",0.718100890207715,0.0228127544245665
"Gemella",-0.061,0.013,3.6e-06,7.66956521739131e-06,"zinb","Gemella","negatively correlated",5.11522925522179,49,0,"age",0.465875370919881,0.0115751047595812
"Bacillus",0.053,0.012,1.4e-05,2.744e-05,"zinb","Bacillus","positively correlated",4.56161589296529,49,0,"age",0.264094955489614,0.00190417737998985
