"","sample_subset","country","nonresponders","responders","crossval_median","crossval_q1","crossval_q3"
"1","BM1","India","nonresponders","responders",0.5,0.45,0.55
"2","BM1","India (exposed)","nonresponders","responders",0.454545454545455,0.363636363636364,0.554924242424242
"3","BM1","India (unexposed)","nonresponders","responders",0.555555555555556,0.5,0.611111111111111
"4","BM1","Malawi","nonresponders","responders",0.571428571428571,0.428571428571429,0.642857142857143
"5","BM2","India","nonresponders","responders",0.55,0.45,0.6125
"6","BM2","India (exposed)","nonresponders","responders",0.5,0.4,0.6
"7","BM2","India (unexposed)","nonresponders","responders",0.470588235294118,0.4375,0.529411764705882
"8","BM2","Malawi","nonresponders","responders",0.5,0.384615384615385,0.538461538461538
"9","BM3","India","nonresponders","responders",0.45,0.4,0.55
"10","BM3","India (exposed)","nonresponders","responders",0.571428571428571,0.5,0.714285714285714
"11","BM3","India (unexposed)","nonresponders","responders",0.5,0.39375,0.578571428571429
"12","BM3","Malawi","nonresponders","responders",0.5,0.408653846153846,0.583333333333333
