"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.047,0.021,0.033,0.0479090909090909,"zinb","Bifidobacterium","positively correlated",1.31958206994568,31,0,"age",0.44954128440367,0.0047149470787769
"Streptococcus",0.005,0.015,0.72,0.769655172413793,"nb","Streptococcus","ns",0.113703807633415,31,0,"age",0.990825688073395,0.409847555367913
"Staphylococcus",-0.102,0.016,4.5e-08,1.86e-07,"zinb","Staphylococcus","negatively correlated",6.73048705578208,31,0,"age",0.944954128440367,0.210914908382399
"Bacteroides",0.124,0.019,1.3e-08,6.71666666666667e-08,"zinb","Bacteroides","positively correlated",7.17284620424253,31,0,"age",0.26605504587156,0.0020323575866635
"Veillonella",0.028,0.027,0.29,0.321071428571429,"zinb","Veillonella","ns",0.49339833960899,31,0,"age",0.770642201834862,0.0570871635829454
"Lactobacillus",-0.041,0.02,0.045,0.0606521739130435,"zinb","Lactobacillus","ns",1.21715362840798,31,0,"age",0.376146788990826,0.00785526871276126
"Haemophilus",-0.058,0.018,0.0018,0.00293684210526316,"zinb","Haemophilus","negatively correlated",2.53211940201525,31,0,"age",0.568807339449541,0.0286565208423705
"Klebsiella",0.114,0.02,1.8e-07,6.2e-07,"zinb","Klebsiella","positively correlated",6.20760831050175,31,0,"age",0.348623853211009,0.0121057310474792
"Rothia",0.144,0.018,4.5e-11,4.65e-10,"zinb","Rothia","positively correlated",9.33254704711005,31,0,"age",0.770642201834862,0.0269845036114434
"Gemella",-0.106,0.018,2.3e-07,7.13e-07,"zinb","Gemella","negatively correlated",6.14691047014813,31,0,"age",0.743119266055046,0.0386531334396598
"Pseudomonas",0.142,0.023,4.8e-08,1.86e-07,"zinb","Pseudomonas","positively correlated",6.73048705578208,31,0,"age",0.614678899082569,0.0432281608028688
"Cutibacterium",-0.006,0.022,0.78,0.806,"zinb","Cutibacterium","ns",0.0936649581949093,31,0,"age",0.871559633027523,0.0110850227309505
"Enterobacter",-0.101,0.026,0.00023,0.000445625,"zinb","Enterobacter","negatively correlated",3.35103045280406,31,0,"age",0.293577981651376,0.024381106989974
"Acinetobacter",0.036,0.026,0.16,0.1984,"zinb","Acinetobacter","ns",0.70245833218184,31,0,"age",0.73394495412844,0.0528052538441593
"Enhydrobacter",0.157,0.024,7.8e-09,4.836e-08,"zinb","Enhydrobacter","positively correlated",7.31551370781127,31,0,"age",0.541284403669725,0.0202294191001783
"Corynebacterium_1",0.023,0.018,0.21,0.241111111111111,"zinb","Corynebacterium_1","ns",0.617782775590795,31,0,"age",0.697247706422018,0.0196124753018112
"Dermacoccus",0.07,0.015,1.1e-05,2.62307692307692e-05,"zinb","Dermacoccus","positively correlated",4.58118897331434,31,0,"age",0.302752293577982,0.00136591418811396
"Granulicatella",0.119,0.023,2.1e-06,5.425e-06,"zinb","Granulicatella","positively correlated",5.26560025747943,31,0,"age",0.321100917431193,0.00252741994199481
"Micrococcus",0.039,0.018,0.034,0.0479090909090909,"zinb","Micrococcus","positively correlated",1.31958206994568,31,0,"age",0.229357798165138,0.000748478681417471
"Kocuria",-0.226,0.025,7.8e-13,1.209e-11,"zinb","Kocuria","negatively correlated",10.9175736991392,31,0,"age",0.26605504587156,0.00180995465843829
"Chryseobacterium",-0.218,0.029,2.6e-10,2.015e-09,"zinb","Chryseobacterium","negatively correlated",8.69572494952287,31,0,"age",0.26605504587156,0.00618397957538934
"Actinomyces",0.025,0.018,0.18,0.214615384615385,"zinb","Actinomyces","ns",0.668339149033239,31,0,"age",0.330275229357798,0.00372167007918475
"Flavobacterium",0,0.018,1,1,"zinb","Flavobacterium","ns",0,31,0,"age",0.26605504587156,0.00169372836896293
"Lawsonella",0.058,0.015,0.00025,0.000455882352941176,"zinb","Lawsonella","positively correlated",3.34114721887196,31,0,"age",0.284403669724771,0.000552434542724051
"Bergeyella",0.021,0.015,0.15,0.19375,"zinb","Bergeyella","ns",0.712758288821652,31,0,"age",0.284403669724771,0.000882270707193961
"Moraxella",-0.064,0.018,0.00056,0.000964444444444444,"zinb","Moraxella","negatively correlated",3.01572278426283,31,0,"age",0.201834862385321,0.00108855401600901
"Neisseria",-0.098,0.021,1.7e-05,3.76428571428571e-05,"zinb","Neisseria","negatively correlated",4.42431742046569,31,0,"age",0.238532110091743,0.00568680884373871
