"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.03,0.022,0.18,0.264705882352941,"zinb","Bifidobacterium","ns",0.57723640760293,50,0,"age",0.889400921658986,0.0401414650482995
"Streptococcus",0.058,0.01,5.1e-08,1.5e-07,"nb","Streptococcus","positively correlated",6.82390874094432,50,0,"age",1,0.391004934150191
"Staphylococcus",-0.122,0.018,3.1e-10,1.55e-09,"zinb","Staphylococcus","negatively correlated",8.80966830182971,50,0,"age",0.944700460829493,0.155696311252296
"Bacteroides",0.041,0.017,0.017,0.0283333333333333,"zinb","Bacteroides","positively correlated",1.54770232900537,50,0,"age",0.428571428571429,0.0094494233539818
"Veillonella",0.119,0.018,7e-10,3.18181818181818e-09,"zinb","Veillonella","positively correlated",8.49732464080795,50,0,"age",0.788018433179724,0.0741305747977975
"Lactobacillus",0.163,0.019,1.1e-13,9.16666666666667e-13,"zinb","Lactobacillus","positively correlated",12.0377885608894,50,0,"age",0.36405529953917,0.00953782955562993
"Collinsella",-0.005,0.013,0.68,0.739130434782609,"zinb","Collinsella","ns",0.131278914639319,50,0,"age",0.419354838709677,0.00864697952601226
"Haemophilus",-0.046,0.013,0.00045,0.000978260869565217,"zinb","Haemophilus","negatively correlated",3.00954531790623,50,0,"age",0.317972350230415,0.00448788515910806
"Klebsiella",-0.118,0.018,3.3e-09,1.26923076923077e-08,"zinb","Klebsiella","negatively correlated",7.89645940809293,50,0,"age",0.36405529953917,0.0256839067881438
"Rothia",0.185,0.017,5.5e-19,6.875e-18,"zinb","Rothia","positively correlated",17.1627272974977,50,0,"age",0.654377880184332,0.0252537591129337
"unassigned_Lachnospiraceae",0.01,0.012,0.4,0.476190476190476,"zinb","unassigned_Lachnospiraceae","ns",0.322219294733919,50,0,"age",0.304147465437788,0.00326874334061609
"Gemella",0.003,0.017,0.84,0.86734693877551,"zinb","Gemella","ns",0.0618071499782021,50,0,"age",0.612903225806452,0.0199976875563959
"Bacillus",-0.117,0.01,5.4e-22,1.35e-20,"zinb","Bacillus","negatively correlated",19.869666231505,50,0,"age",0.23963133640553,0.00495257517848665
"Prevotella_9",0.032,0.019,0.098,0.153125,"zinb","Prevotella_9","ns",0.814953898291392,50,0,"age",0.645161290322581,0.021358601717081
