"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby","56 (54)",NA,NA,NA,NA
"2","mode_delivery","56 (54)",NA,NA,NA,NA
"3","place_delivery","0 (0)",NA,NA,NA,NA
"4","breastfed_child","56 (54)",NA,NA,NA,NA
"5","age_at_first_dose","56 (54)",NA,NA,NA,NA
"6","birth_weight","56 (54)",NA,NA,NA,NA
"7","HIV_status","0 (0)",NA,NA,NA,NA
"8","HAZ_6_8w","0 (0)",NA,NA,NA,NA
"9","antibiotic_exposure","56 (54)",NA,NA,NA,NA
"10","age_mother","0 (0)",NA,NA,NA,NA
"11","mother_weight","0 (0)",NA,NA,NA,NA
"12","parity","0 (0)",NA,NA,NA,NA
"13","maternal_education","0 (0)",NA,NA,NA,NA
"14","type_house","0 (0)",NA,NA,NA,NA
"15","water_treat_wami","0 (0)",NA,NA,NA,NA
"16","sanitation","0 (0)",NA,NA,NA,NA
"17","kitchen","0 (0)",NA,NA,NA,NA
"18","refrigerator","0 (0)",NA,NA,NA,NA
"19","crowding_wami","0 (0)",NA,NA,NA,NA
"20","household_income","0 (0)",NA,NA,NA,NA
"21","A1AT_BS3_Concugml","46 (44)",NA,NA,NA,NA
"22","A1AT_BS5_Concugml","49 (48)",NA,NA,NA,NA
"23","MPO_BS3_Concngml","45 (44)",NA,NA,NA,NA
"24","MPO_BS5_Concngml","49 (48)",NA,NA,NA,NA
"25","AG_Concugml","0 (0)",NA,NA,NA,NA
"26","MB1_IgA","46 (46)",NA,NA,NA,NA
"27","BM1_IgA","27 (26)",NA,NA,NA,NA
"28","MB1_IgG","0 (0)",NA,NA,NA,NA
"29","CB1_IgG","0 (0)",NA,NA,NA,NA
"30","BB1_IgG","0 (0)",NA,NA,NA,NA
"31","Shannon_6w","49 (47)",NA,NA,NA,NA
"32","Observed_6w","49 (47)",NA,NA,NA,NA
"33","Shannon_10w","53 (51)",NA,NA,NA,NA
"34","Observed_10w","53 (51)",NA,NA,NA,NA
"35","pre_exposed","51 (49)",NA,NA,NA,NA
