"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.0117,0.0117,199,0.2187,0.192194358840217,50,"module1"
"B1.F2",0.1019,0.1019,199,6e-04,9.80155409927318e-05,50,"module1"
"B1.F3",0.059,0.059,199,0.0015,9.55722544994815e-05,50,"module1"
"B1.F4",0.0321,0.0321,200,0.0684,0.0575559193049348,49,"module1"
"B1.F5",0.0274,0.0274,199,0.1276,0.120057929873847,50,"module1"
"B2.F1",0.0447,0.0447,200,0.0337,0.0425857181453649,49,"module1"
"B2.F2",0.0291,0.0291,199,0.0637,0.0472721867967966,50,"module1"
"B2.F3",0.0305,0.0305,199,0.1308,0.161609947662846,50,"module1"
"B2.F4",0.0658,0.0658,199,0.0395,0.030482276984779,50,"module1"
"B2.F5",0.0825,0.0825,199,0.0319,0.0288653942626472,50,"module1"
"B3.F1",0.0324,0.0324,199,0.1292,0.17411004862868,50,"module1"
"B3.F2",0.0567,0.0567,199,0.0235,0.0126968091103845,50,"module1"
"B3.F3",0.0311,0.0311,199,0.0614,0.0782601813616579,50,"module1"
"B3.F4",0.0612,0.0612,199,0.0191,0.0179312972959301,50,"module1"
"B3.F5",0.0342,0.0342,200,0.1,0.0943848902501276,49,"module1"
"B4.F1",0.0391,0.0391,199,0.03,0.0232102076039651,50,"module1"
"B4.F2",0.0244,0.0244,199,0.0963,0.105719831536149,50,"module1"
"B4.F3",0.0534,0.0534,199,0.0632,0.0459211400163074,50,"module1"
"B4.F4",0.0599,0.0599,199,0.0386,0.0406078714314008,50,"module1"
"B4.F5",0.0503,0.0503,200,0.0112,0.00340848621224906,49,"module1"
"B5.F1",0.0326,0.0326,200,0.1113,0.096212363659093,49,"module1"
"B5.F2",0.0241,0.0241,199,0.1095,0.126431145698731,50,"module1"
"B5.F3",0.0165,0.0165,199,0.1188,0.108981974823255,50,"module1"
"B5.F4",0.0579,0.0579,199,0.0194,0.00582767151561418,50,"module1"
"B5.F5",0.0837,0.0837,199,0.0067,0.00633279456517549,50,"module1"
"B6.F1",0.0844,0.0844,199,0.007,0.00796818785195293,50,"module1"
"B6.F2",0.0392,0.0392,199,0.0771,0.0553660217333687,50,"module1"
"B6.F3",0.044,0.044,199,0.0038,0.0003492580882389,50,"module1"
"B6.F4",0.0479,0.0479,200,0.0431,0.0420679264555669,49,"module1"
"B6.F5",0.0214,0.0214,199,0.1116,0.0934421901444634,50,"module1"
"B7.F1",0.0292,0.0292,199,0.0999,0.070013875740063,50,"module1"
"B7.F2",0.0601,0.0601,199,0.0306,0.0246773018032867,50,"module1"
"B7.F3",0.0617,0.0617,200,0.0109,0.0123204909835297,49,"module1"
"B7.F4",0.0335,0.0335,199,0.0988,0.12190927375587,50,"module1"
"B7.F5",0.0185,0.0185,199,0.1271,0.135532959254358,50,"module1"
"B8.F1",0.029,0.029,200,0.0541,0.0194772779387547,49,"module1"
"B8.F2",0.0289,0.0289,199,0.1317,0.132269522365756,50,"module1"
"B8.F3",0.0351,0.0351,199,0.088,0.105878900082023,50,"module1"
"B8.F4",0.0524,0.0524,199,0.0202,0.0221010554427035,50,"module1"
"B8.F5",0.0748,0.0748,199,0.0142,0.0135714337683125,50,"module1"
"B9.F1",0.0396,0.0396,199,0.1033,0.11609625359197,50,"module1"
"B9.F2",0.0442,0.0442,199,0.0605,0.0538668208451369,50,"module1"
"B9.F3",0.0515,0.0515,199,0.0071,0.00948319383257466,50,"module1"
"B9.F4",0.0327,0.0327,200,0.1397,0.148334694295237,49,"module1"
"B9.F5",0.0491,0.0491,199,0.0516,0.0359422385934781,50,"module1"
"B10.F1",0.034,0.034,199,0.1143,0.148090073471607,50,"module1"
"B10.F2",0.0812,0.0812,199,0,0.000390574565727678,50,"module1"
"B10.F3",0.0793,0.0793,199,0.0215,0.0102386448071376,50,"module1"
"B10.F4",0.0335,0.0335,200,0.0607,0.0590096988259316,49,"module1"
"B10.F5",0.0277,0.0277,199,0.1554,0.135986654822963,50,"module1"
"B11.F1",0.0611,0.0611,199,0.0264,0.0173526185845358,50,"module1"
"B11.F2",0.0139,0.0139,199,0.0934,0.0846815493874317,50,"module1"
"B11.F3",0.084,0.084,199,0.015,0.00567083135287029,50,"module1"
"B11.F4",0.0395,0.0395,199,0.052,0.0314438242492383,50,"module1"
"B11.F5",0.0569,0.0569,200,0.0477,0.0551854349502825,49,"module1"
"B12.F1",0.06,0.06,200,0.0152,0.0198240708169041,49,"module1"
"B12.F2",0.0303,0.0303,199,0.0761,0.0463641222912523,50,"module1"
"B12.F3",0.025,0.025,199,0.0994,0.109075396969755,50,"module1"
"B12.F4",0.0564,0.0564,199,0.0313,0.0236379533293908,50,"module1"
"B12.F5",0.0536,0.0536,199,0.0821,0.098941798941799,50,"module1"
"B13.F1",0.0376,0.0376,200,0.0671,0.0521402856286556,49,"module1"
"B13.F2",0.0765,0.0765,199,0.0029,0.0021138352961949,50,"module1"
"B13.F3",0.0235,0.0235,199,0.1497,0.107700034015048,50,"module1"
"B13.F4",0.0485,0.0485,199,0.0227,0.0244415434283381,50,"module1"
"B13.F5",0.0427,0.0427,199,0.0557,0.0565254881173248,50,"module1"
"B14.F1",0.0594,0.0594,199,0,5.10218517421398e-06,50,"module1"
"B14.F2",0.023,0.023,199,0.096,0.0967522781650002,50,"module1"
"B14.F3",0.0478,0.0478,199,0.0682,0.073523583170642,50,"module1"
"B14.F4",0.0369,0.0369,200,0.0589,0.0392706833230767,49,"module1"
"B14.F5",0.1116,0.1116,199,0.001,0.000507700426682188,50,"module1"
"B15.F1",0.0112,0.0112,199,0.1887,0.178030189397729,50,"module1"
"B15.F2",0.0466,0.0466,200,0.0469,0.032744359388644,49,"module1"
"B15.F3",0.0792,0.0792,199,0.0168,0.0190999580777374,50,"module1"
"B15.F4",0.0329,0.0329,199,0.0167,0.00588533660264395,50,"module1"
"B15.F5",0.0526,0.0526,199,0.0451,0.0226154227244585,50,"module1"
"B16.F1",0.0544,0.0544,199,0.0498,0.0380873880818901,50,"module1"
"B16.F2",0.0388,0.0388,199,0.019,0.0243671814149633,50,"module1"
"B16.F3",0.0313,0.0313,199,0.0834,0.0958262334479793,50,"module1"
"B16.F4",0.0556,0.0556,199,0.0448,0.0383349436023389,50,"module1"
"B16.F5",0.0416,0.0416,200,0.0467,0.0466198415148708,49,"module1"
"B17.F1",0.0312,0.0312,199,0.0849,0.0343001512068418,50,"module1"
"B17.F2",0.02,0.02,199,0.0865,0.101865579709517,50,"module1"
"B17.F3",0.081,0.081,199,0.0153,0.00940595343476496,50,"module1"
"B17.F4",0.0221,0.0221,199,0.0997,0.0884461252361699,50,"module1"
"B17.F5",0.0419,0.0419,200,0.1347,0.173419784870026,49,"module1"
"B18.F1",0.0426,0.0426,199,0.0405,0.0382221938292631,50,"module1"
"B18.F2",0.0576,0.0576,199,0.0628,0.0490226659206251,50,"module1"
"B18.F3",0.0633,0.0633,199,0.0467,0.0543107448376436,50,"module1"
"B18.F4",0.035,0.035,200,0.0841,0.10977492042113,49,"module1"
"B18.F5",0.0461,0.0461,199,0.019,0.0103026353398502,50,"module1"
"B19.F1",0.0505,0.0505,199,0.0304,0.0221678374091339,50,"module1"
"B19.F2",0.0328,0.0328,199,0.0633,0.050315605080686,50,"module1"
"B19.F3",0.0717,0.0717,199,0.034,0.0206702859534441,50,"module1"
"B19.F4",0.0255,0.0255,200,0.0901,0.100212079933014,49,"module1"
"B19.F5",0.0398,0.0398,199,0.0756,0.0745196151908177,50,"module1"
"B20.F1",0.0583,0.0583,199,0,0.00316338728621403,50,"module1"
"B20.F2",0.0543,0.0543,199,0.0251,0.0180694707897589,50,"module1"
"B20.F3",0.015,0.015,200,0.2239,0.23316291647533,49,"module1"
"B20.F4",0.048,0.048,199,0.0167,0.00923050698183161,50,"module1"
"B20.F5",0.0376,0.0376,199,0.0652,0.0171412457755871,50,"module1"
"B1.F11",0.3194,0.3194,199,0.3669,0.359378151144745,50,"module2"
"B1.F21",0.3432,0.3432,199,0.3021,0.259284797697017,50,"module2"
"B1.F31",0.2978,0.2978,199,0.4205,0.373906461348063,50,"module2"
"B1.F41",0.354,0.354,200,0.1713,0.157916817676244,49,"module2"
"B1.F51",0.3374,0.3374,199,0.3038,0.260825592403668,50,"module2"
"B2.F11",0.2883,0.2883,199,0.4276,0.40845710223527,50,"module2"
"B2.F21",0.2874,0.2874,199,0.4484,0.403681299484466,50,"module2"
"B2.F31",0.3052,0.3052,200,0.4043,0.338604507737161,49,"module2"
"B2.F41",0.402,0.402,199,0.153,0.116386927441784,50,"module2"
"B2.F51",0.3545,0.3545,199,0.3147,0.288130400212033,50,"module2"
"B3.F11",0.3577,0.3577,199,0.2335,0.211725715887821,50,"module2"
"B3.F21",0.3199,0.3199,199,0.3851,0.355258072059993,50,"module2"
"B3.F31",0.4063,0.4063,199,0.1867,0.181819943192685,50,"module2"
"B3.F41",0.2695,0.2695,200,0.5252,0.52734744950074,49,"module2"
"B3.F51",0.2899,0.2899,199,0.4669,0.441394501466627,50,"module2"
"B4.F11",0.374,0.374,199,0.1954,0.162584812930697,50,"module2"
"B4.F21",0.3402,0.3402,199,0.3683,0.341002211987895,50,"module2"
"B4.F31",0.3013,0.3013,199,0.4181,0.354757576004546,50,"module2"
"B4.F41",0.2911,0.2911,200,0.4487,0.386060286423047,49,"module2"
"B4.F51",0.3261,0.3261,199,0.3804,0.36116875755654,50,"module2"
"B5.F11",0.3714,0.3714,199,0.2328,0.186415577473422,50,"module2"
"B5.F21",0.3293,0.3293,200,0.3628,0.311932410019975,49,"module2"
"B5.F31",0.3441,0.3441,199,0.3274,0.309868150914963,50,"module2"
"B5.F41",0.3303,0.3303,199,0.3104,0.257623972444061,50,"module2"
"B5.F51",0.259,0.259,199,0.5793,0.584509622608062,50,"module2"
"B6.F11",0.3281,0.3281,199,0.411,0.366253284875594,50,"module2"
"B6.F21",0.3315,0.3315,200,0.3138,0.28831785609521,49,"module2"
"B6.F31",0.3343,0.3343,199,0.3432,0.331939337956017,50,"module2"
"B6.F41",0.3712,0.3712,199,0.1983,0.171270747728241,50,"module2"
"B6.F51",0.2759,0.2759,199,0.5318,0.495620903881876,50,"module2"
"B7.F11",0.2953,0.2953,199,0.4811,0.449242372787299,50,"module2"
"B7.F21",0.3435,0.3435,200,0.3229,0.31421762456897,49,"module2"
"B7.F31",0.3691,0.3691,199,0.2286,0.188462314796048,50,"module2"
"B7.F41",0.3528,0.3528,199,0.2593,0.229037930931437,50,"module2"
"B7.F51",0.3027,0.3027,199,0.4296,0.348927290396678,50,"module2"
"B8.F11",0.3383,0.3383,200,0.3422,0.319215261012305,49,"module2"
"B8.F21",0.3172,0.3172,199,0.3654,0.347792660498543,50,"module2"
"B8.F31",0.3379,0.3379,199,0.2863,0.20398961028872,50,"module2"
"B8.F41",0.3375,0.3375,199,0.3433,0.342635373246104,50,"module2"
"B8.F51",0.3179,0.3179,199,0.3837,0.381409434718372,50,"module2"
"B9.F11",0.3857,0.3857,199,0.1792,0.120766679396849,50,"module2"
"B9.F21",0.3223,0.3223,199,0.3617,0.330221205942694,50,"module2"
"B9.F31",0.3394,0.3394,199,0.3443,0.367823045240196,50,"module2"
"B9.F41",0.3433,0.3433,199,0.301,0.274461557054238,50,"module2"
"B9.F51",0.2805,0.2805,200,0.3825,0.334870813407178,49,"module2"
"B10.F11",0.391,0.391,200,0.2195,0.236661053276179,49,"module2"
"B10.F21",0.2445,0.2445,199,0.6475,0.56978705321178,50,"module2"
"B10.F31",0.2944,0.2944,199,0.4203,0.378566420656222,50,"module2"
