"","variable","n","level 1","level 2","pearson","beta (95% CI)","p"
"1","sex_baby","103","male (n = 50), 10.5 (6.4-17.2)","female (n = 53), 7.6 (4.6-12.3)",NA,"0.72 (0.36-1.43)","0.348"
"2","mode_delivery","103",NA,NA,NA,NA,NA
"3","place_delivery","0",NA,NA,NA,NA,NA
"4","breastfed_child","103","nonexclusive (n = 10), 14.5 (3.6-58.2)","exclusive (n = 93), 8.4 (5.9-12.0)",NA,"0.58 (0.18-1.84)","0.350"
"5","age_at_first_dose","103",NA,NA,"0.054","1.15 (0.69-1.91)","0.589"
"6","birth_weight","103",NA,NA,"-0.039","0.85 (0.38-1.91)","0.694"
"7","HIV_status","100","negative (n = 79), 9.0 (6.2-13.1)","positive (n = 21), 7.4 (3.0-18.4)",NA,"0.82 (0.35-1.92)","0.651"
"8","HAZ_6_8w","103",NA,NA,"0.031","1.05 (0.79-1.39)","0.753"
"9","antibiotic_exposure","103","no (n = 76), 8.7 (6.1-12.5)","yes (n = 27), 9.3 (3.9-22.3)",NA,"1.07 (0.49-2.35)","0.857"
"10","age_mother","103",NA,NA,"-0.024","0.99 (0.93-1.06)","0.813"
"11","mother_weight","0",NA,NA,NA,NA,NA
"12","parity","0",NA,NA,NA,NA,NA
"13","maternal_education","0",NA,NA,NA,NA,NA
"14","type_house","0",NA,NA,NA,NA,NA
"15","water_treat_wami","0",NA,NA,NA,NA,NA
"16","sanitation","0",NA,NA,NA,NA,NA
"17","kitchen","0",NA,NA,NA,NA,NA
"18","refrigerator","0",NA,NA,NA,NA,NA
"19","crowding_wami","0",NA,NA,NA,NA,NA
"20","household_income","0",NA,NA,NA,NA,NA
"21","A1AT_BS3_Concugml","78",NA,NA,"-0.060","0.93 (0.72-1.21)","0.601"
"22","A1AT_BS5_Concugml","53",NA,NA,"0.084","1.12 (0.77-1.61)","0.552"
"23","MPO_BS3_Concngml","78",NA,NA,"-0.032","0.94 (0.58-1.50)","0.782"
"24","MPO_BS5_Concngml","53",NA,NA,"0.024","1.04 (0.69-1.56)","0.864"
"25","AG_Concugml","87",NA,NA,"-0.023","0.94 (0.52-1.69)","0.833"
"26","MB1_IgA","103",NA,NA,"-0.288","0.71 (0.56-0.89)","0.003"
"27","BM1_IgA","78",NA,NA,"-0.259","0.51 (0.29-0.91)","0.022"
"28","MB1_IgG","0",NA,NA,NA,NA,NA
"29","CB1_IgG","0",NA,NA,NA,NA,NA
"30","BB1_IgG","0",NA,NA,NA,NA,NA
"31","Shannon_1w","73",NA,NA,"0.000","1.00 (0.43-2.32)","0.999"
"32","Shannon_4w","71",NA,NA,"0.073","1.33 (0.52-3.39)","0.548"
"33","Shannon_6w","66",NA,NA,"-0.335","0.23 (0.08-0.64)","0.006"
"34","Shannon_10w","53",NA,NA,"0.079","1.32 (0.49-3.58)","0.574"
"35","pre_exposed","90","no (n = 80), 7.9 (5.6-11.1)","yes (n = 10), 37.0 (6.3-218.5)",NA," 4.70 ( 1.55-14.26)","0.007"
