"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","101 (56)","31/56 (55.4%)","23/45 (51.1%)","1.08 (0.71-1.41)","0.671"
"2","mode_delivery","101 (56)",NA,NA,NA,NA
"3","place_delivery","0 (0)",NA,NA,NA,NA
"4","breastfed_child (exclusive)","101 (56)","49/56 (87.5%)","41/45 (91.1%)","0.86 (0.36-1.27)","0.564"
"5","age_at_first_dose","94 (51)","42.0 (0.9)","42.0 (0.2)","0.93 (0.60-1.21)","0.641"
"6","birth_weight","101 (56)","3.0 (0.4)","3.0 (0.5)","1.07 (0.66-1.42)","0.744"
"7","HIV_status (positive)","98 (54)","10/54 (18.5%)","12/44 (27.3%)","0.79 (0.41-1.18)","0.304"
"8","HAZ_6_8w","94 (51)","-2.3 (1.1)","-2.8 (1.4)","1.14 (1.00-1.29)","0.070"
"9","antibiotic_exposure (yes)","101 (56)","14/56 (25.0%)","13/45 (28.9%)","0.91 (0.54-1.28)","0.661"
"10","age_mother","101 (56)","26.0 (5.8)","26.2 (6.2)","1.00 (0.97-1.03)","0.848"
"11","mother_weight","0 (0)",NA,NA,NA,NA
"12","parity","0 (0)",NA,NA,NA,NA
"13","maternal_education","0 (0)",NA,NA,NA,NA
"14","type_house","0 (0)",NA,NA,NA,NA
"15","water_treat_wami","0 (0)",NA,NA,NA,NA
"16","sanitation","0 (0)",NA,NA,NA,NA
"17","kitchen","0 (0)",NA,NA,NA,NA
"18","refrigerator","0 (0)",NA,NA,NA,NA
"19","crowding_wami","0 (0)",NA,NA,NA,NA
"20","household_income","0 (0)",NA,NA,NA,NA
"21","A1AT_BS3_Concugml","71 (34)","3978.6 (2011.2-7870.8)","4742.0 (3304.2-6805.3)","0.96 (0.79-1.12)","0.634"
"22","A1AT_BS5_Concugml","57 (32)","10655.9 (6780.8-16745.5)","8054.2 (5017.8-12928.0)","1.09 (0.89-1.27)","0.383"
"23","MPO_BS3_Concngml","71 (34)","3945.8 (2811.5-5537.8)","2482.2 (1914.9-3217.4)","1.32 (1.04-1.60)","0.036"
"24","MPO_BS5_Concngml","57 (32)","3948.3 (2640.8-5903.1)","4628.8 (2810.2-7624.4)","0.95 (0.73-1.15)","0.603"
"25","AG_Concugml","75 (41)","501.2 (401.0-626.5)","517.9 (422.6-634.8)","0.96 (0.64-1.27)","0.826"
"26","MB1_IgA","85 (45)","249.7 (163.4-381.5)","441.7 (287.0-679.9)","0.85 (0.67-1.00)","0.071"
"27","BM1_IgA","64 (36)","92.3 (76.2-111.9)","100.6 (74.7-135.6)","0.91 (0.58-1.23)","0.603"
"28","MB1_IgG","0 (0)",NA,NA,NA,NA
"29","CB1_IgG","0 (0)",NA,NA,NA,NA
"30","BB1_IgG","0 (0)",NA,NA,NA,NA
"31","Shannon_6w","57 (25)","1.4 (0.4)","1.3 (0.4)","1.04 (0.42-1.74)","0.911"
"32","Observed_6w","57 (25)","12.8 (5.0)","12.2 (4.5)","1.19 (0.47-1.88)","0.646"
"33","Shannon_10w","54 (33)","1.5 (0.4)","1.4 (0.4)","1.27 (0.78-1.53)","0.252"
"34","Observed_10w","54 (33)","14.2 (6.9)","11.9 (4.6)","1.32 (0.84-1.56)","0.182"
"35","pre_exposed (yes)","75 (42)","4/42 (9.5%)","5/33 (15.2%)","0.77 (0.27-1.33)","0.460"
