"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","51 (27)","11/27 (40.7%)","9/24 (37.5%)","1.07 (0.55-1.54)","0.81300"
"2","mode_delivery (caesarean)","51 (27)","0/27 (0.0%)","1/24 (4.2%)",NA,NA
"3","place_delivery","0 (0)",NA,NA,NA,NA
"4","breastfed_child (exclusive)","51 (27)","13/27 (48.1%)","10/24 (41.7%)","1.13 (0.60-1.60)","0.64267"
"5","age_at_first_dose","51 (27)","61.7 (5.5)","61.0 (2.7)","1.02 (0.96-1.08)","0.56270"
"6","birth_weight","51 (27)","3.7 (0.4)","3.5 (0.6)","1.32 (0.79-1.69)","0.23307"
"7","HIV_status","0 (0)",NA,NA,NA,NA
"8","HAZ_6_8w","0 (0)",NA,NA,NA,NA
"9","antibiotic_exposure (yes)","51 (27)","4/27 (14.8%)","2/24 (8.3%)",NA,NA
"10","age_mother","0 (0)",NA,NA,NA,NA
"11","mother_weight","0 (0)",NA,NA,NA,NA
"12","parity","0 (0)",NA,NA,NA,NA
"13","maternal_education","0 (0)",NA,NA,NA,NA
"14","type_house","0 (0)",NA,NA,NA,NA
"15","water_treat_wami","0 (0)",NA,NA,NA,NA
"16","sanitation","0 (0)",NA,NA,NA,NA
"17","kitchen","0 (0)",NA,NA,NA,NA
"18","refrigerator","0 (0)",NA,NA,NA,NA
"19","crowding_wami","0 (0)",NA,NA,NA,NA
"20","household_income","0 (0)",NA,NA,NA,NA
"21","A1AT_BS3_Concugml","43 (23)","216.6 (83.3-563.0)","330.9 (122.7-892.3)","0.95 (0.80-1.09)","0.51917"
"22","A1AT_BS5_Concugml","46 (24)","588.0 (428.6-806.8)","463.4 (184.9-1161.1)","1.05 (0.86-1.27)","0.59613"
"23","MPO_BS3_Concngml","42 (22)","4495.4 (2386.0-8469.4)","3127.4 (1457.0-6712.7)","1.08 (0.88-1.27)","0.43698"
"24","MPO_BS5_Concngml","44 (24)","3060.3 (1551.3-6037.1)","3318.2 (1562.7-7045.7)","0.99 (0.81-1.15)","0.86506"
"25","AG_Concugml","0 (0)",NA,NA,NA,NA
"26","MB1_IgA","42 (23)","146.7 (78.9-272.9)","228.0 (105.1-494.9)","0.91 (0.70-1.09)","0.34769"
"27","BM1_IgA","27 (13)","108.4 (65.8-178.7)","80.6 (40.1-161.9)","1.15 (0.77-1.55)","0.45442"
"28","MB1_IgG","0 (0)",NA,NA,NA,NA
"29","CB1_IgG","0 (0)",NA,NA,NA,NA
"30","BB1_IgG","0 (0)",NA,NA,NA,NA
"31","Shannon_1w","50 (27)","1.3 (0.3)","1.2 (0.4)","1.26 (0.58-1.70)","0.45677"
"32","Shannon_4w","50 (26)","1.3 (0.3)","1.4 (0.4)","0.89 (0.29-1.54)","0.76211"
"33","Shannon_6w","48 (25)","1.4 (0.4)","1.4 (0.4)","1.00 (0.37-1.60)","0.98990"
"34","Shannon_10w","49 (25)","1.4 (0.4)","1.5 (0.3)","0.44 (0.08-1.24)","0.17509"
"35","pre_exposed (yes)","49 (26)","0/26 (0.0%)","1/23 (4.3%)",NA,NA
