"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","305 (85)","41/85 (48.2%)","109/220 (49.5%)","0.96 (0.65-1.35)","0.837"
"2","mode_delivery (caesarean)","305 (85)","22/85 (25.9%)","48/220 (21.8%)","1.17 (0.75-1.67)","0.450"
"3","place_delivery (tertiary)","305 (85)","37/85 (43.5%)","92/220 (41.8%)","1.05 (0.71-1.47)","0.786"
"4","breastfed_child (exclusive)","305 (85)","79/85 (92.9%)","185/220 (84.1%)","2.04 (1.07-3.68)","0.048"
"5","age_at_first_dose","305 (85)","42.8 (1.8)","42.5 (1.1)","1.09 (0.96-1.23)","0.192"
"6","birth_weight","305 (85)","3.0 (0.4)","3.0 (0.4)","1.03 (0.65-1.51)","0.902"
"7","HIV_status","297 (83)",NA,NA,NA,NA
"8","HAZ_6_8w","304 (84)","-0.4 (1.1)","-0.5 (1.1)","1.08 (0.91-1.27)","0.360"
"9","antibiotic_exposure (yes)","305 (85)","24/85 (28.2%)","60/220 (27.3%)","1.04 (0.67-1.48)","0.866"
"10","age_mother","305 (85)","23.9 (3.7)","23.3 (3.7)","1.03 (0.98-1.08)","0.190"
"11","mother_weight","305 (85)","61.7 (9.5)","60.9 (11.0)","1.00 (0.99-1.02)","0.577"
"12","parity","305 (85)","0.8 (0.9)","0.9 (0.9)","0.95 (0.76-1.15)","0.597"
"13","maternal_education","305 (85)","10.1 (3.9)","9.8 (3.6)","1.02 (0.97-1.07)","0.528"
"14","type_house (pucca)","305 (85)","60/85 (70.6%)","139/220 (63.2%)","1.28 (0.86-1.82)","0.224"
"15","water_treat_wami (yes)","288 (77)","35/77 (45.5%)","96/211 (45.5%)","1.00 (0.66-1.42)","0.995"
"16","sanitation (yes)","305 (85)","36/85 (42.4%)","101/220 (45.9%)","0.90 (0.60-1.27)","0.576"
"17","kitchen (yes)","305 (85)","58/85 (68.2%)","150/220 (68.2%)","1.00 (0.67-1.44)","0.993"
"18","refrigerator (yes)","305 (85)","54/85 (63.5%)","119/220 (54.1%)","1.33 (0.91-1.85)","0.137"
"19","crowding_wami (over_4)","305 (85)","41/85 (48.2%)","107/220 (48.6%)","0.99 (0.67-1.38)","0.950"
"20","household_income","305 (85)","7396.9 (6565.2-8334.1)","8011.5 (7390.1-8685.1)","0.84 (0.59-1.15)","0.292"
"21","A1AT_BS3_Concugml","300 (83)","704.8 (601.1-826.3)","745.0 (676.3-820.6)","0.92 (0.70-1.19)","0.552"
"22","A1AT_BS5_Concugml","297 (83)","849.3 (713.5-1011.1)","807.7 (715.4-912.0)","1.05 (0.85-1.29)","0.656"
"23","MPO_BS3_Concngml","300 (83)","5696.6 (4057.7-7997.5)","6729.5 (5510.4-8218.5)","0.95 (0.83-1.07)","0.392"
"24","MPO_BS5_Concngml","297 (83)","6408.8 (4680.5-8775.3)","7777.5 (6365.3-9502.9)","0.94 (0.82-1.06)","0.310"
"25","AG_Concugml","304 (84)","696.2 (662.6-731.4)","733.3 (708.7-758.7)","0.50 (0.19-1.12)","0.105"
"26","MB1_IgA","305 (85)","126.2 (102.3-155.7)","137.2 (119.7-157.2)","0.94 (0.78-1.12)","0.518"
"27","BM1_IgA","301 (83)","25.5 (19.8-32.8)","25.2 (21.3-29.8)","1.01 (0.86-1.16)","0.933"
"28","MB1_IgG","305 (85)","10680.8 (8892.2-12829.2)","9795.4 (8531.3-11246.9)","1.07 (0.89-1.27)","0.493"
"29","CB1_IgG","305 (85)","15258.4 (12758.2-18248.6)","13399.9 (11659.4-15400.2)","1.10 (0.92-1.33)","0.306"
"30","BB1_IgG","305 (85)","6639.7 (5503.1-8011.1)","7916.2 (6932.5-9039.5)","0.87 (0.71-1.05)","0.155"
"31","Shannon_6w","287 (79)","1.2 (0.4)","1.3 (0.4)","0.52 (0.28-0.90)","0.018"
"32","Observed_6w","287 (79)","9.1 (3.0)","10.1 (4.3)","0.58 (0.30-1.01)","0.059"
"33","Shannon_10w","281 (79)","1.3 (0.3)","1.4 (0.3)","0.79 (0.41-1.37)","0.436"
"34","Observed_10w","281 (79)","10.2 (3.6)","10.7 (3.5)","0.69 (0.35-1.21)","0.213"
"35","pre_exposed (yes)","304 (85)","51/85 (60.0%)","115/219 (52.5%)","1.25 (0.86-1.73)","0.240"
