"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","304 (166)","85/166 (51.2%)","64/138 (46.4%)","1.09 (0.88-1.29)","0.40200"
"2","mode_delivery (caesarean)","304 (166)","46/166 (27.7%)","23/138 (16.7%)","1.31 (1.05-1.53)","0.02330"
"3","place_delivery (tertiary)","304 (166)","98/166 (59.0%)","30/138 (21.7%)","1.98 (1.72-2.19)","0.00000"
"4","breastfed_child (exclusive)","304 (166)","145/166 (87.3%)","118/138 (85.5%)","1.08 (0.76-1.37)","0.63990"
"5","age_at_first_dose","304 (166)","42.6 (1.5)","42.6 (1.1)","0.98 (0.90-1.06)","0.68015"
"6","birth_weight","304 (166)","2.9 (0.4)","3.0 (0.4)","0.94 (0.69-1.17)","0.60165"
"7","HIV_status","296 (163)",NA,NA,NA,NA
"8","HAZ_6_8w","303 (166)","-0.5 (1.1)","-0.5 (1.1)","1.01 (0.91-1.10)","0.88910"
"9","antibiotic_exposure (yes)","304 (166)","48/166 (28.9%)","36/138 (26.1%)","1.07 (0.83-1.29)","0.58305"
"10","age_mother","304 (166)","23.5 (3.7)","23.4 (3.7)","1.00 (0.98-1.03)","0.82114"
"11","mother_weight","304 (166)","61.0 (10.7)","61.2 (10.4)","1.00 (0.99-1.01)","0.84006"
"12","parity","304 (166)","0.8 (0.9)","1.0 (0.9)","0.90 (0.78-1.01)","0.08579"
"13","maternal_education","304 (166)","10.0 (3.7)","9.8 (3.7)","1.01 (0.98-1.04)","0.63332"
"14","type_house (pucca)","304 (166)","120/166 (72.3%)","78/138 (56.5%)","1.40 (1.13-1.64)","0.00432"
"15","water_treat_wami (yes)","287 (157)","78/157 (49.7%)","53/130 (40.8%)","1.18 (0.95-1.39)","0.13188"
"16","sanitation (yes)","304 (166)","77/166 (46.4%)","59/138 (42.8%)","1.07 (0.86-1.27)","0.52613"
"17","kitchen (yes)","304 (166)","118/166 (71.1%)","89/138 (64.5%)","1.15 (0.91-1.38)","0.22022"
"18","refrigerator (yes)","304 (166)","103/166 (62.0%)","69/138 (50.0%)","1.25 (1.02-1.47)","0.03534"
"19","crowding_wami (over_4)","304 (166)","79/166 (47.6%)","68/138 (49.3%)","0.97 (0.77-1.17)","0.76976"
"20","household_income","304 (166)","8116.2 (7431.4-8864.1)","7496.9 (6759.7-8314.4)","1.10 (0.93-1.27)","0.24698"
"21","A1AT_BS3_Concugml","299 (163)","713.5 (639.0-796.8)","755.0 (666.3-855.6)","0.95 (0.81-1.09)","0.50066"
"22","A1AT_BS5_Concugml","296 (162)","770.9 (667.3-890.6)","878.2 (766.3-1006.3)","0.92 (0.80-1.04)","0.20309"
"23","MPO_BS3_Concngml","299 (163)","6364.6 (5042.7-8033.1)","6481.4 (5003.6-8395.8)","1.00 (0.93-1.06)","0.91739"
"24","MPO_BS5_Concngml","296 (162)","6610.5 (5233.7-8349.6)","8540.5 (6699.3-10887.7)","0.95 (0.87-1.02)","0.13616"
"25","AG_Concugml","303 (165)","713.8 (687.0-741.8)","733.3 (703.0-764.8)","0.80 (0.44-1.21)","0.35135"
"26","MB1_IgA","304 (166)","131.1 (113.2-151.7)","137.9 (114.9-165.5)","0.98 (0.87-1.08)","0.66214"
"27","BM1_IgA","300 (163)","23.6 (19.7-28.4)","27.6 (22.2-34.3)","0.95 (0.87-1.04)","0.27930"
"28","MB1_IgG","304 (166)","9642.1 (8304.8-11194.6)","10475.8 (8834.8-12421.7)","0.96 (0.86-1.06)","0.46711"
"29","CB1_IgG","304 (166)","13497.1 (11761.3-15489.1)","14278.5 (11873.4-17170.9)","0.97 (0.87-1.08)","0.62203"
"30","BB1_IgG","304 (166)","9430.1 (8298.8-10715.7)","5747.1 (4817.1-6856.6)","1.24 (1.14-1.34)","2e-05"
"31","Shannon_1w","286 (155)","1.3 (0.4)","1.2 (0.4)","1.16 (0.88-1.40)","0.25405"
"32","Shannon_4w","284 (156)","1.2 (0.4)","1.2 (0.4)","1.18 (0.93-1.39)","0.16180"
"33","Shannon_6w","286 (154)","1.3 (0.4)","1.3 (0.4)","1.01 (0.74-1.27)","0.94784"
"34","Shannon_10w","280 (160)","1.4 (0.3)","1.4 (0.3)","0.92 (0.61-1.21)","0.60363"
