"","Genus","Platform","Prevalence","Abundance","rho","p"
"1","Bifidobacterium","16S",99.7,42.6031972086508,0.928,0
"2","Escherichia","16S",95.3,14.4487222029511,0.959,0
"3","Veillonella","16S",90.6,9.55093357773835,0.733,0
"4","Streptococcus","16S",100,9.37746573626496,0.893,0
"5","Klebsiella","16S",85.3,4.16757497649273,0.96,0
"6","Lactobacillus","16S",68.9,3.87362152790369,0.826,0
"7","Bacteroides","16S",38.7,3.69981942994796,0.834,0
"8","Collinsella","16S",35.8,1.97880588604017,0.805,0
"9","Enterococcus","16S",67.2,1.58839228198594,0.929,0
"10","Prevotella","16S",32.8,1.01548717212723,0.619,0
"11","Parabacteroides","16S",19.1,0.972509131250627,0.698,0
"12","Clostridium","16S",30.2,0.782884867974307,0.723,0
"13","Staphylococcus","16S",93.8,0.749210011464683,0.913,0
"14","Megasphaera","16S",18.2,0.588922075463189,0.484,0
"15","unassigned_Lachnospiraceae","16S",32.8,0.508026873545983,NA,NA
"16","Akkermansia","16S",5,0.286985336820576,0.406,0
"17","Rothia","16S",79.2,0.282340817884103,0.939,0
"18","Enterobacter","16S",32.6,0.244504199202818,0.722,0
"19","Acinetobacter","16S",28.4,0.239426547450983,0.754,0
"20","Dialister","16S",15.2,0.211476051447089,0.154,0.004
"21","Megamonas","16S",5.6,0.207474023378105,0.396,0
"22","Senegalimassilia","16S",21.7,0.155030077354447,NA,NA
"23","Sutterella","16S",19.1,0.154915106723265,0.719,0
"24","Lachnoclostridium","16S",10.9,0.147790431268513,0.432,0
"25","Salmonella","16S",13.5,0.143695847780535,0.236,0
"26","unassigned_Enterobacteriaceae","16S",20.8,0.122344870762893,NA,NA
"27","Faecalibacterium","16S",3.5,0.117811811339411,0.177,0.001
"28","Haemophilus","16S",32.3,0.114970204557437,0.723,0
"29","Olsenella","16S",7.6,0.108100546105471,0.455,0
"30","Clostridioides","16S",14.4,0.0787341882639669,0.541,0
"31","Flavonifractor","16S",7,0.0681266392709501,0.458,0
"32","Actinomyces","16S",33.4,0.0671216790860128,0.728,0
"33","Morganella","16S",5.9,0.0609336128654545,0.425,0
"34","Lactococcus","16S",3.5,0.0571575648777926,0.332,0
"35","Eggerthella","16S",10.3,0.0564352277465988,0.526,0
"36","Proteus","16S",3.8,0.0450445029680582,0.385,0
"37","Alistipes","16S",3.5,0.0447500062081185,0.357,0
"38","Erysipelatoclostridium","16S",9.1,0.0439694271236031,0.482,0
"39","Atopobium","16S",26.7,0.0427281170194215,NA,NA
"40","Phascolarctobacterium","16S",5,0.0417022020964428,0.212,0
"41","Eubacterium","16S",3.2,0.0415623656659827,0.31,0
"42","Cutibacterium","16S",11.7,0.0393126102820674,0.505,0
"43","Gemella","16S",55.4,0.035810766152536,0.836,0
"44","Citrobacter","16S",11.1,0.0298223822216775,0.483,0
"45","Corynebacterium","16S",68.6,0.024196919856503,0.451,0
"46","Blautia","16S",6.2,0.0217682337645273,0.31,0
"47","Peptoniphilus","16S",23.8,0.0147045314664204,0.425,0
"48","Dolosigranulum","16S",43.7,0.0122075167446822,NA,NA
"49","Finegoldia","16S",22.6,0.00799588514399417,0.445,0
"50","Anaerococcus","16S",25.2,0.00721198552925355,NA,NA
"51","Cronobacter","16S",4.4,0.00640642476676825,0.149,0.006
"52","Dermabacter","16S",4.1,0.00390071105854885,0.41,0
"53","Weissella","16S",3.8,0.00173408435396389,0.413,0
"54","Stenotrophomonas","16S",3.2,0.00166712507773244,0.286,0
"55","Pseudomonas","16S",4.4,0.000755077646908257,0.309,0
"56","Kocuria","16S",3.8,0.000505746731352502,0.067,0.22
"57","Micrococcus","16S",2.9,0.000281997526117186,0.316,0
"58","Phocaeicola","16S",0,0,NA,NA
"59","Mediterraneibacter","16S",0,0,NA,NA
"60","Limosilactobacillus","16S",0,0,NA,NA
"61","Ligilactobacillus","16S",0,0,NA,NA
"62","Enterocloster","16S",0,0,NA,NA
"63","Acidaminococcus","16S",0,0,NA,NA
"64","Ruthenibacterium","16S",0,0,NA,NA
"65","Lacticaseibacillus","16S",0,0,NA,NA
"66","Parolsenella","16S",0,0,NA,NA
"67","Lactiplantibacillus","16S",0,0,NA,NA
"68","Anaerostipes","16S",0,0,NA,NA
"69","Odoribacter","16S",0,0,NA,NA
"70","Coprococcus","16S",0,0,NA,NA
"71","Roseburia","16S",0,0,NA,NA
"72","Schaalia","16S",0,0,NA,NA
"73","Gordonibacter","16S",0,0,NA,NA
"74","Lancefieldella","16S",0,0,NA,NA
"75","Anaerobutyricum","16S",0,0,NA,NA
"76","Butyricimonas","16S",0,0,NA,NA
"77","Oscillibacter","16S",0,0,NA,NA
"78","Moraxella","16S",0,0,NA,NA
"79","Faecalicatena","16S",0,0,NA,NA
"80","Parafannyhessea","16S",0,0,NA,NA
"81","Filifactor","16S",0,0,NA,NA
"82","Intestinimonas","16S",0,0,NA,NA
"83","Lacrimispora","16S",0,0,NA,NA
"84","Lachnospira","16S",0,0,NA,NA
"85","Leclercia","16S",0,0,NA,NA
"86","Kluyvera","16S",0,0,NA,NA
"87","Bifidobacterium","Metagenome",100,55.3227761601336,NA,NA
"88","Escherichia","Metagenome",98.8,15.8825571925934,NA,NA
"89","Veillonella","Metagenome",96.5,1.85080069758954,NA,NA
"90","Streptococcus","Metagenome",100,5.12578033247979,NA,NA
"91","Klebsiella","Metagenome",97.4,5.10785904895894,NA,NA
"92","Lactobacillus","Metagenome",76.8,1.56954046675258,NA,NA
"93","Bacteroides","Metagenome",71.3,4.5080580572615,NA,NA
"94","Collinsella","Metagenome",82.1,0.43782419884912,NA,NA
"95","Enterococcus","Metagenome",94.4,1.12043435078971,NA,NA
"96","Prevotella","Metagenome",78,0.62481878541525,NA,NA
"97","Parabacteroides","Metagenome",50.7,1.59928844897596,NA,NA
"98","Clostridium","Metagenome",82.1,0.398942866601405,NA,NA
"99","Staphylococcus","Metagenome",100,0.367131055256042,NA,NA
"100","Megasphaera","Metagenome",57.8,0.0827532886454548,NA,NA
"101","unassigned_Lachnospiraceae","Metagenome",0,0,NA,NA
"102","Akkermansia","Metagenome",44,0.341456283728485,NA,NA
"103","Rothia","Metagenome",94.4,0.128409920021595,NA,NA
