"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"12","sex_baby","53","male (n = 33), 2.2 (1.9-2.5)","female (n = 20), 2.5 (2.1-2.9)",NA,"1.33 (1.08-1.63)","1.33","1.08","1.63","0.0083",0.066
"13","mode_delivery","53","vaginal (n = 52), 2.3 (1.9-2.7)","caesarean (n = 1), 2.6 (NA-NA)",NA,NA,NA,NA,NA,NA,NA
"15","breastfed_child","53","nonexclusive (n = 32), 2.4 (2-2.8)","exclusive (n = 21), 2.2 (1.8-2.6)",NA,"0.80 (0.65-0.99)","0.80","0.65","0.99","0.0408",0.163
"16","age_at_first_dose","53",NA,NA,"-0.117","0.99 (0.97-1.01)","0.99","0.97","1.01","0.4051",0.766
"17","birth_weight","53",NA,NA,"0.066","1.05 (0.85-1.30)","1.05","0.85","1.30","0.6362",0.766
"19","antibiotic_exposure","53","no (n = 47), 2.4 (2.1-2.7)","yes (n = 6), 2.1 (1.5-2.7)",NA,NA,NA,NA,NA,NA,NA
"21","A1AT_BS3_Concugml","48",NA,NA,"0.160","1.03 (0.98-1.08)","1.03","0.98","1.08","0.2781",0.742
"22","MPO_BS3_Concngml","47",NA,NA,"0.045","1.01 (0.94-1.09)","1.01","0.94","1.09","0.7664",0.766
"24","MB1_IgA","42",NA,NA,"0.084","1.02 (0.94-1.11)","1.02","0.94","1.11","0.5991",0.766
"25","BM1_IgA","27",NA,NA,"-0.069","0.98 (0.86-1.12)","0.98","0.86","1.12","0.7314",0.766
"26","pre_exposed","50","no (n = 48), 2.4 (2-2.8)","yes (n = 2), 1.7 (1.3-2.1)",NA,NA,NA,NA,NA,NA,NA
