"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"1","age_mother","289",NA,NA,"0.031","1.00 (0.99-1.02)","1.00","0.99","1.02","0.5954",0.934
"2","mother_weight","289",NA,NA,"-0.020","1.00 (0.99-1.00)","1.00","0.99","1.00","0.7361",0.934
"3","maternal_education","289",NA,NA,"-0.105","0.99 (0.98-1.00)","0.99","0.98","1.00","0.0747",0.374
"4","parity","289",NA,NA,"0.019","1.01 (0.96-1.06)","1.01","0.96","1.06","0.7468",0.934
"5","household_income","289",NA,NA,"-0.016","0.99 (0.92-1.07)","0.99","0.92","1.07","0.7857",0.935
"6","type_house","289","kutcha_mixed (n = 103), 1.2 (0.8-1.6)","pucca (n = 186), 1.3 (0.9-1.7)",NA,"1.04 (0.95-1.15)","1.04","0.95","1.15","0.4000",0.934
"7","water_treat_wami","272","no (n = 148), 1.3 (0.9-1.7)","yes (n = 124), 1.3 (0.9-1.7)",NA,"1.03 (0.94-1.13)","1.03","0.94","1.13","0.5651",0.934
"8","kitchen","289","no (n = 94), 1.3 (0.9-1.7)","yes (n = 195), 1.3 (0.9-1.7)",NA,"1.03 (0.93-1.14)","1.03","0.93","1.14","0.5473",0.934
"9","refrigerator","289","no (n = 127), 1.3 (0.9-1.7)","yes (n = 162), 1.3 (0.9-1.7)",NA,"0.98 (0.90-1.08)","0.98","0.90","1.08","0.7038",0.934
"10","sanitation","289","no (n = 162), 1.3 (0.9-1.7)","yes (n = 127), 1.3 (0.9-1.7)",NA,"1.03 (0.94-1.13)","1.03","0.94","1.13","0.5616",0.934
"11","crowding_wami","289","up_to_4 (n = 147), 1.3 (0.9-1.7)","over_4 (n = 142), 1.3 (0.9-1.7)",NA,"1.00 (0.91-1.09)","1.00","0.91","1.09","0.9620",0.962
"12","sex_baby","289","male (n = 149), 1.3 (0.9-1.7)","female (n = 140), 1.3 (0.9-1.7)",NA,"0.98 (0.89-1.07)","0.98","0.89","1.07","0.6454",0.934
"13","mode_delivery","289","vaginal (n = 227), 1.3 (0.9-1.7)","caesarean (n = 62), 1.2 (0.8-1.6)",NA,"0.95 (0.85-1.06)","0.95","0.85","1.06","0.3555",0.934
"14","place_delivery","289","non_tertiary (n = 165), 1.3 (0.9-1.7)","tertiary (n = 124), 1.3 (0.9-1.7)",NA,"1.02 (0.93-1.12)","1.02","0.93","1.12","0.6958",0.934
"15","breastfed_child","289","nonexclusive (n = 41), 1.5 (1.1-1.9)","exclusive (n = 248), 1.2 (0.8-1.6)",NA,"0.76 (0.67-0.86)","0.76","0.67","0.86","0.0000",0
"16","age_at_first_dose","289",NA,NA,"0.126","1.04 (1.00-1.07)","1.04","1.00","1.07","0.0329",0.274
"17","birth_weight","289",NA,NA,"0.009","1.01 (0.91-1.12)","1.01","0.91","1.12","0.8784",0.962
"18","HIV_status","281",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","antibiotic_exposure","289","no (n = 207), 1.3 (0.9-1.7)","yes (n = 82), 1.2 (0.8-1.6)",NA,"0.87 (0.78-0.96)","0.87","0.78","0.96","0.0050",0.062
"20","HAZ_6_8w","288",NA,NA,"0.021","1.01 (0.97-1.05)","1.01","0.97","1.05","0.7207",0.934
"21","A1AT_BS3_Concugml","283",NA,NA,"-0.044","0.98 (0.92-1.04)","0.98","0.92","1.04","0.4619",0.934
"22","MPO_BS3_Concngml","283",NA,NA,"0.049","1.01 (0.98-1.04)","1.01","0.98","1.04","0.4149",0.934
"23","AG_Concugml","286",NA,NA,"0.110","1.19 (0.99-1.43)","1.19","0.99","1.43","0.0642",0.374
"24","MB1_IgA","287",NA,NA,"-0.005","1.00 (0.95-1.04)","1.00","0.95","1.04","0.9385",0.962
"25","BM1_IgA","283",NA,NA,"-0.061","0.98 (0.94-1.02)","0.98","0.94","1.02","0.3042",0.934
"26","pre_exposed","286","no (n = 132), 1.3 (0.9-1.7)","yes (n = 154), 1.3 (0.9-1.7)",NA,"1.00 (0.91-1.10)","1.00","0.91","1.10","0.9481",0.962
