"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.062,0.172,0.72,"zinb","Bifidobacterium",0.9675,"ns",0.014349026309051,44,1,"dose1",0.899470899470899,0.22266986609634
"Escherichia/Shigella",-0.197,0.163,0.23,"zinb","Escherichia/Shigella",0.69875,"ns",0.15567817910552,44,1,"dose1",0.947089947089947,0.230731274458961
"Streptococcus",-0.516,0.265,0.055,"nb","Streptococcus",0.4257,"ns",0.370896349822864,44,1,"dose1",1,0.0581787190293064
"Staphylococcus",-0.173,0.371,0.64,"nb","Staphylococcus",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.962962962962963,0.0355696723573872
"Bacteroides",-0.338,0.337,0.32,"zinb","Bacteroides",0.809411764705882,"ns",0.0918304874787814,44,1,"dose1",0.71957671957672,0.0883243870888761
"Veillonella",0.464,0.291,0.11,"zinb","Veillonella",0.43,"ns",0.366531544420413,44,1,"dose1",0.894179894179894,0.114739625368303
"Lactobacillus",-0.156,0.568,0.78,"zinb","Lactobacillus",0.9675,"ns",0.014349026309051,44,1,"dose1",0.603174603174603,0.0279147697382519
"Collinsella",0.419,0.338,0.22,"zinb","Collinsella",0.69875,"ns",0.15567817910552,44,1,"dose1",0.677248677248677,0.0276237621392738
"Haemophilus",0.005,0.831,1,"zinb","Haemophilus",1,"ns",0,44,1,"dose1",0.433862433862434,0.00442124832969908
"Klebsiella",0.415,0.495,0.4,"zinb","Klebsiella",0.86,"ns",0.0655015487564323,44,1,"dose1",0.708994708994709,0.034424922191076
"Enterococcus",0.187,0.736,0.8,"zinb","Enterococcus",0.9675,"ns",0.014349026309051,44,1,"dose1",0.386243386243386,0.00293686722121175
"Rothia",-0.324,0.354,0.36,"zinb","Rothia",0.814736842105263,"ns",0.0889826446059552,44,1,"dose1",0.783068783068783,0.003288189374629
"unassigned_Lachnospiraceae",0.297,0.408,0.47,"zinb","unassigned_Lachnospiraceae",0.918636363636364,"ns",0.0368563673069023,44,1,"dose1",0.428571428571429,0.00909963115176984
"Gemella",0.351,0.31,0.26,"zinb","Gemella",0.69875,"ns",0.15567817910552,44,1,"dose1",0.656084656084656,0.000390798872552889
"Prevotella_9",-0.228,0.643,0.72,"zinb","Prevotella_9",0.9675,"ns",0.014349026309051,44,1,"dose1",0.423280423280423,0.040851302971904
"Dialister",-2.157,0.758,0.0055,"zinb","Dialister",0.11825,"ns",0.927198850590151,44,1,"dose1",0.423280423280423,0.00497353265937665
"Pseudomonas",1.217,0.716,0.093,"zinb","Pseudomonas",0.4257,"ns",0.370896349822864,44,1,"dose1",0.216931216931217,0.000279231453589264
"Cutibacterium",0.092,0.736,0.9,"zinb","Cutibacterium",1,"ns",0,44,1,"dose1",0.206349206349206,5.1864021192842e-05
"Enterobacter",-0.518,0.456,0.26,"zinb","Enterobacter",0.69875,"ns",0.15567817910552,44,1,"dose1",0.301587301587302,0.00136845177739198
"Parabacteroides",0.334,0.424,0.43,"zinb","Parabacteroides",0.88047619047619,"ns",0.0552823835747462,44,1,"dose1",0.396825396825397,0.0198689753257514
"Acinetobacter",0.201,0.672,0.77,"zinb","Acinetobacter",0.9675,"ns",0.014349026309051,44,1,"dose1",0.624338624338624,0.0148041968658501
"Enhydrobacter",0.268,0.505,0.6,"zinb","Enhydrobacter",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.275132275132275,0.000226057420113504
"Faecalibacterium",1.197,1.026,0.25,"zinb","Faecalibacterium",0.69875,"ns",0.15567817910552,44,1,"dose1",0.201058201058201,0.000497436039141693
"Corynebacterium_1",0.043,0.384,0.91,"zinb","Corynebacterium_1",1,"ns",0,44,1,"dose1",0.804232804232804,0.000556545122968591
"Clostridium_sensu_stricto_1",-0.024,0.572,0.97,"zinb","Clostridium_sensu_stricto_1",1,"ns",0,44,1,"dose1",0.333333333333333,0.0257516684806264
"Phascolarctobacterium",1.048,0.491,0.036,"zinb","Phascolarctobacterium",0.4257,"ns",0.370896349822864,44,1,"dose1",0.259259259259259,0.00182006442732781
"Succinivibrio",1.296,0.661,0.053,"zinb","Succinivibrio",0.4257,"ns",0.370896349822864,44,1,"dose1",0.26984126984127,0.00853437482198306
"Sutterella",-1.417,0.369,0.00024,"zinb","Sutterella",0.01032,"negatively correlated",1.98632030270881,44,1,"dose1",0.439153439153439,0.0128000673354168
"Granulicatella",0.101,0.805,0.9,"zinb","Granulicatella",1,"ns",0,44,1,"dose1",0.232804232804233,9.80863812040953e-05
"Micrococcus",-1.181,0.702,0.096,"zinb","Micrococcus",0.4257,"ns",0.370896349822864,44,1,"dose1",0.248677248677249,6.64067305154784e-05
"Holdemanella",-1.385,0.815,0.093,"zinb","Holdemanella",0.4257,"ns",0.370896349822864,44,1,"dose1",0.275132275132275,0.00155655654091749
"Slackia",-0.013,0.617,0.98,"zinb","Slackia",1,"ns",0,44,1,"dose1",0.211640211640212,0.00108689749698718
"Senegalimassilia",0.152,0.37,0.68,"zinb","Senegalimassilia",0.9675,"ns",0.014349026309051,44,1,"dose1",0.486772486772487,0.00229672972234277
"Atopobium",0.557,0.836,0.51,"zinb","Atopobium",0.953478260869565,"ns",0.0206892043400699,44,1,"dose1",0.328042328042328,0.000369521093633568
"Actinomyces",0.355,0.746,0.64,"zinb","Actinomyces",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.423280423280423,0.000622773267907827
"Lawsonella",-0.766,0.806,0.34,"zinb","Lawsonella",0.812222222222222,"ns",0.0903251324814644,44,1,"dose1",0.206349206349206,5.55641071583367e-05
"Finegoldia",-0.322,0.602,0.59,"zinb","Finegoldia",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.26984126984127,6.23751327035498e-05
"Dolosigranulum",-1.194,0.658,0.073,"zinb","Dolosigranulum",0.4257,"ns",0.370896349822864,44,1,"dose1",0.301587301587302,0.000123636129085023
"Anaerococcus",-0.015,0.582,0.98,"zinb","Anaerococcus",1,"ns",0,44,1,"dose1",0.312169312169312,4.07787290303784e-05
"unassigned_Saccharimonadales",1.452,0.87,0.099,"zinb","unassigned_Saccharimonadales",0.4257,"ns",0.370896349822864,44,1,"dose1",0.227513227513228,9.51290700375478e-05
"Negativicoccus",-0.182,0.762,0.81,"zinb","Negativicoccus",0.9675,"ns",0.014349026309051,44,1,"dose1",0.26984126984127,0.000332930456966361
"Prevotella",0.321,0.593,0.59,"zinb","Prevotella",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.365079365079365,0.00042570520245569
"Peptoniphilus",0.336,0.747,0.65,"zinb","Peptoniphilus",0.963793103448276,"ns",0.0160161856765139,44,1,"dose1",0.232804232804233,6.9407798782685e-05
