"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",-0.011,0.065,0.87,"nb","Bifidobacterium",0.9,"ns",0.0457574905606751,22,0,"dose1",0.9923273657289,0.449269055775653
"Escherichia/Shigella",0.035,0.132,0.79,"zinb","Escherichia/Shigella",0.9,"ns",0.0457574905606751,22,0,"dose1",0.89002557544757,0.137754362550555
"Streptococcus",-0.071,0.167,0.67,"nb","Streptococcus",0.867058823529412,"ns",0.0619514378552412,22,0,"dose1",1,0.11230355207152
"Staphylococcus",0.169,0.227,0.46,"nb","Staphylococcus",0.718666666666667,"ns",0.143472498204961,22,0,"dose1",0.982097186700767,0.0498642910144368
"Bacteroides",-0.726,0.371,0.053,"zinb","Bacteroides",0.2376,"ns",0.624153563690844,22,0,"dose1",0.329923273657289,0.0263551119695663
"Veillonella",-0.06,0.261,0.82,"zinb","Veillonella",0.9,"ns",0.0457574905606751,22,0,"dose1",0.805626598465473,0.081223649984074
"Lactobacillus",1.047,0.452,0.022,"zinb","Lactobacillus",0.2376,"ns",0.624153563690844,22,0,"dose1",0.624040920716113,0.0271574171941965
"Collinsella",-0.195,0.364,0.59,"zinb","Collinsella",0.81125,"ns",0.0908452901915744,22,0,"dose1",0.332480818414322,0.0215269204317481
"Haemophilus",-0.596,0.291,0.042,"zinb","Haemophilus",0.2376,"ns",0.624153563690844,22,0,"dose1",0.337595907928389,0.00182044606230696
"Klebsiella",0.72,0.371,0.054,"zinb","Klebsiella",0.2376,"ns",0.624153563690844,22,0,"dose1",0.823529411764706,0.0584323414357005
"Enterococcus",-0.63,0.34,0.066,"zinb","Enterococcus",0.242,"ns",0.616184634019569,22,0,"dose1",0.603580562659846,0.0134996900177609
"Rothia",-0.229,0.253,0.37,"zinb","Rothia",0.626153846153846,"ns",0.203318947417636,22,0,"dose1",0.800511508951407,0.00236465527660681
"unassigned_Lachnospiraceae",0.647,0.379,0.09,"zinb","unassigned_Lachnospiraceae",0.282857142857143,"ns",0.548432849752726,22,0,"dose1",0.268542199488491,0.00973926709298247
"Gemella",-0.313,0.328,0.34,"zinb","Gemella",0.626153846153846,"ns",0.203318947417636,22,0,"dose1",0.652173913043478,0.000428596398123905
"Enterobacter",-0.275,0.393,0.49,"zinb","Enterobacter",0.718666666666667,"ns",0.143472498204961,22,0,"dose1",0.294117647058824,0.0019573800666132
"Acinetobacter",0.141,0.373,0.71,"zinb","Acinetobacter",0.867777777777778,"ns",0.0615914755620246,22,0,"dose1",0.217391304347826,0.000197803722099153
"Corynebacterium_1",-0.404,0.274,0.14,"zinb","Corynebacterium_1",0.385,"ns",0.414539270491499,22,0,"dose1",0.670076726342711,0.000239446096215297
"Clostridium_sensu_stricto_1",0.434,0.39,0.27,"zinb","Clostridium_sensu_stricto_1",0.626153846153846,"ns",0.203318947417636,22,0,"dose1",0.29156010230179,0.00502923877189071
"Actinomyces",-0.049,0.388,0.9,"zinb","Actinomyces",0.9,"ns",0.0457574905606751,22,0,"dose1",0.225063938618926,0.000631939557752305
"Finegoldia",0.607,0.619,0.33,"zinb","Finegoldia",0.626153846153846,"ns",0.203318947417636,22,0,"dose1",0.21227621483376,6.26702820132243e-05
"Dolosigranulum",-1.279,0.543,0.02,"zinb","Dolosigranulum",0.2376,"ns",0.624153563690844,22,0,"dose1",0.335038363171355,0.00010893334508611
"Anaerococcus",-0.373,0.41,0.36,"zinb","Anaerococcus",0.626153846153846,"ns",0.203318947417636,22,0,"dose1",0.209718670076726,3.323088309785e-05
