"","sample_subset","country","nonresponders","responders","crossval_median","crossval_q1","crossval_q3"
"1","BS1","India","nonresponders","responders",0.5,0.45,0.55
"2","BS1","India (exposed)","nonresponders","responders",0.454545454545455,0.356060606060606,0.6
"3","BS1","India (unexposed)","nonresponders","responders",0.526315789473684,0.444444444444444,0.578947368421053
"4","BS1","Malawi","nonresponders","responders",0.5,0.363636363636364,0.583333333333333
"5","BS2","India","nonresponders","responders",0.5,0.45,0.6
"6","BS2","India (exposed)","nonresponders","responders",0.583333333333333,0.5,0.666666666666667
"7","BS2","India (unexposed)","nonresponders","responders",0.473684210526316,0.421052631578947,0.55
"8","BS2","Malawi","nonresponders","responders",0.615384615384615,0.538461538461538,0.692307692307692
"9","BS3","India","nonresponders","responders",0.5,0.4,0.55
"10","BS3","India (exposed)","nonresponders","responders",0.5,0.4,0.6
"11","BS3","India (unexposed)","nonresponders","responders",0.526315789473684,0.45,0.607894736842105
"12","BS3","Malawi","nonresponders","responders",0.5,0.4,0.6
"13","BS5","India","nonresponders","responders",0.45,0.4,0.55
"14","BS5","India (exposed)","nonresponders","responders",0.454545454545455,0.3,0.545454545454545
"15","BS5","India (unexposed)","nonresponders","responders",0.473684210526316,0.388888888888889,0.578947368421053
"16","BS5","Malawi","nonresponders","responders",0.5,0.375,0.625
"17","MS1","India","nonresponders","responders",0.5,0.4,0.55
"18","MS1","India (exposed)","nonresponders","responders",0.5,0.4,0.6
"19","MS1","India (unexposed)","nonresponders","responders",0.526315789473684,0.444444444444444,0.611111111111111
"20","MS1","Malawi","nonresponders","responders",0.5,0.4,0.6
