feature_id,feature,feature_description,feature_full
p1,unmapped,unmapped,unmapped
p2,ungrouped,ungrouped,ungrouped
p3,1CMET2-PWY,folate transformations III (E. coli),folate transformations III (E. coli) (1CMET2-PWY)
p4,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate degradation,4-hydroxyphenylacetate degradation (3-HYDROXYPHENYLACETATE-DEGRADATION-PWY)
p5,AEROBACTINSYN-PWY,aerobactin biosynthesis,aerobactin biosynthesis (AEROBACTINSYN-PWY)
p6,ALLANTOINDEG-PWY,superpathway of allantoin degradation in yeast,superpathway of allantoin degradation in yeast (ALLANTOINDEG-PWY)
p7,ANAEROFRUCAT-PWY,homolactic fermentation,homolactic fermentation (ANAEROFRUCAT-PWY)
p8,ANAGLYCOLYSIS-PWY,glycolysis III (from glucose),glycolysis III (from glucose) (ANAGLYCOLYSIS-PWY)
p9,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis,superpathway of arginine and polyamine biosynthesis (ARG+POLYAMINE-SYN)
p10,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)"
p11,ARGININE-SYN4-PWY,L-ornithine biosynthesis II,L-ornithine biosynthesis II (ARGININE-SYN4-PWY)
p12,ARGORNPROST-PWY,no MetaCyc description,no MetaCyc description (ARGORNPROST-PWY)
p13,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY)
p14,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)
p15,ARO-PWY,chorismate biosynthesis I,chorismate biosynthesis I (ARO-PWY)
p16,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY)
