"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X41388070b02a7c162aa7245ce4812ebd","Bifidobacterium (RSV1)",116,0.999999105661846,38,0.406298496809333,8,NA,0.406298496809333,FALSE
"Xffc36e27c82042664a16bcd4d380b286","Escherichia/Shigella (RSV2)",337,1,93,0.589151964301173,68,0.95681696047197,0.589151964301173,FALSE
"X409f711b59152d57926cf444c5577087","Streptococcus (RSV3)",237,0.999999998623538,76,0.993849171919778,44,0.886556406820902,0.886556406820902,FALSE
"X101637aba474a6614786486ad42acb11","Streptococcus (RSV4)",141,1,30,0.7701723154146,22,0.499739662523304,0.499739662523304,FALSE
"X384d4c681853c4875391719d0bda7221","Bifidobacterium (RSV5)",90,0.999968461000805,2,NA,2,NA,0.999968461000805,FALSE
"X38b7580c13cf081c9f279006c2dc70b9","Bifidobacterium (RSV6)",298,0.999999999997675,13,0.493885998729089,56,0.999599248210758,0.493885998729089,FALSE
"X5497318e515a8c328a68f95975d9c7d4","Staphylococcus (RSV7)",28,0.999971755991489,5,NA,0,NA,0.999971755991489,FALSE
"X62611dedc42201591d0c89973f903dde","Staphylococcus (RSV8)",17,0.982729226450325,4,NA,0,NA,0.982729226450325,FALSE
"X4abaa483334092f021534a979086baeb","Bacteroides (RSV9)",39,0.972970231155758,30,0.428946383546048,44,0.999896847863709,0.428946383546048,FALSE
"X78c5607a490288b6e534cde0066c2961","Veillonella (RSV10)",8,NA,1,NA,5,NA,NA,FALSE
"X9b23053de8f4269fe6b5ce286dfbef3c","Lactobacillus (RSV11)",61,0.999916618857581,5,NA,6,NA,0.999916618857581,FALSE
"X15e05255b2aa8ee3524ca61eb207bb18","Collinsella (RSV12)",298,1,88,0.970319186695028,53,0.620113424640404,0.620113424640404,FALSE
"Xf633cf95435defb67b3de0a9b69bb3cf","Bifidobacterium (RSV13)",110,0.999995802935081,6,NA,19,0.356773772032263,0.356773772032263,FALSE
"X4394468b49611f78b96b64d72449fab5","Lactobacillus (RSV14)",97,0.729893509756808,5,NA,4,NA,0.729893509756808,FALSE
"X24522f7485582e07564aed7c426af59d","Veillonella (RSV15)",152,0.999998928940421,70,0.959467471549579,29,0.900370145497471,0.900370145497471,FALSE
"Xc29919216bd6a6713038fd18691cc505","Bifidobacterium (RSV16)",274,0.999123369964585,16,0.923170708080812,25,0.882766569095491,0.882766569095491,FALSE
"Xba4ab8dea6b4223dbc9ed5bbf3ea60ea","Streptococcus (RSV17)",24,0.999321140417907,3,NA,2,NA,0.999321140417907,FALSE
"X18eb929cf9350e0af65cf863c2786858","Haemophilus (RSV18)",159,0.999999999717934,75,0.997453059354698,28,0.964374344039021,0.964374344039021,FALSE
"Xceaec4b3e38be8caaaf3ba52277fc320","Klebsiella (RSV19)",234,1,27,0.31399605055879,3,NA,0.31399605055879,FALSE
"X5c7cd4afe047a1fa454b6a815a951c2f","Veillonella (RSV20)",44,0.999999999837347,29,0.825866413147465,9,NA,0.825866413147465,FALSE
"Xe2f6a531bc64c892b56a06d2aed991f7","Escherichia/Shigella (RSV21)",156,0.999999995650357,36,0.923083563054596,13,0.321994717707924,0.321994717707924,FALSE
"Xd6403e5b4389d1c8f2e1c218c0a59134","Veillonella (RSV22)",70,0.99999803141583,40,0.809386139800896,28,0.84267349640972,0.809386139800896,FALSE
"X04be702b895fe5ed0568344daf564276","Staphylococcus (RSV23)",21,0.999862612401667,2,NA,2,NA,0.999862612401667,FALSE
"X892a20bbdc3ce599dc0c5d9f0866c352","Enterococcus (RSV24)",67,0.999848357179168,6,NA,5,NA,0.999848357179168,FALSE
"X427f5142ae52662b7db0bdd5689461f0","Enterococcus (RSV25)",167,0.997873495896451,12,0.88922632065913,8,NA,0.88922632065913,FALSE
"Xc27ad79848adcd406bf90804cb13ec9b","Klebsiella (RSV26)",227,1,32,0.822997118087695,2,NA,0.822997118087695,FALSE
"X6251bd9ebf43fae466939ab366f6e547","Bacteroides (RSV28)",225,1,62,0.745244972518056,48,0.902827954081608,0.745244972518056,FALSE
"Xd6dffb454cbb0b0c87367b03432c2b05","Klebsiella (RSV29)",200,1,27,0.808358381669261,4,NA,0.808358381669261,FALSE
"X78ad607ed9e17d60a51de19b9b7441b7","Rothia (RSV30)",10,0.999950781173188,3,NA,1,NA,0.999950781173188,FALSE
"X47f3d645d96038371757074de1d8fb8d","Bacteroides (RSV31)",49,0.996527970601178,33,0.523693310272358,27,0.59282507227819,0.523693310272358,FALSE
