"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"AG_Concugml",0.254846709283194,0.467921982304279,0.466666666666667,0.4,0.5625,"module4_exposed"
"BM1_IgA",0.253534116149932,0.456940166313548,0.466666666666667,0.4,0.5625,"module4_exposed"
"mother_weight",0.239698238140737,0.425931943191586,0.466666666666667,0.4,0.5625,"module4_exposed"
"MB1_IgA",0.229406398507082,0.412215181033184,0.466666666666667,0.4,0.5625,"module4_exposed"
"MB1_IgG",0.225555722265284,0.407564412719819,0.466666666666667,0.4,0.5625,"module4_exposed"
"Escherichia.Shigella",0.216613911754627,0.395697635648213,0.466666666666667,0.4,0.5625,"module4_exposed"
"age_mother",0.216198710737683,0.406575290827777,0.466666666666667,0.4,0.5625,"module4_exposed"
"MPO_BS5_Concngml",0.210066938098059,0.377222101221011,0.466666666666667,0.4,0.5625,"module4_exposed"
"Actinomyces",0.202787269142752,0.384654477109247,0.466666666666667,0.4,0.5625,"module4_exposed"
"Streptococcus",0.202773464105445,0.365560535529693,0.466666666666667,0.4,0.5625,"module4_exposed"
"A1AT_BS5_Concugml",0.197492746002534,0.351609497821838,0.466666666666667,0.4,0.5625,"module4_exposed"
"Bifidobacterium",0.19597683074734,0.351268337294898,0.466666666666667,0.4,0.5625,"module4_exposed"
"A1AT_BS3_Concugml",0.192778480384985,0.351286120029184,0.466666666666667,0.4,0.5625,"module4_exposed"
"Staphylococcus",0.191005228982231,0.350487309074668,0.466666666666667,0.4,0.5625,"module4_exposed"
"MPO_BS3_Concngml",0.184382012093935,0.327176723221332,0.466666666666667,0.4,0.5625,"module4_exposed"
"Veillonella",0.182880944245782,0.326702459242495,0.466666666666667,0.4,0.5625,"module4_exposed"
"CB1_IgG",0.175897510165855,0.319201030783641,0.466666666666667,0.4,0.5625,"module4_exposed"
"Klebsiella",0.175090071783361,0.313719210954767,0.466666666666667,0.4,0.5625,"module4_exposed"
"Corynebacterium_1",0.172217456528327,0.323277921424854,0.466666666666667,0.4,0.5625,"module4_exposed"
"Rothia",0.164967421585766,0.292459181637508,0.466666666666667,0.4,0.5625,"module4_exposed"
"Enterococcus",0.164374129601505,0.296554291922428,0.466666666666667,0.4,0.5625,"module4_exposed"
"HAZ_6_8w",0.154687212602392,0.275231432936552,0.466666666666667,0.4,0.5625,"module4_exposed"
"household_income",0.152005941130166,0.27098372656493,0.466666666666667,0.4,0.5625,"module4_exposed"
"Lactobacillus",0.148007665864489,0.275953243112389,0.466666666666667,0.4,0.5625,"module4_exposed"
"maternal_education",0.141469240477333,0.254739769596383,0.466666666666667,0.4,0.5625,"module4_exposed"
"birth_weight",0.131840892496512,0.23436356828885,0.466666666666667,0.4,0.5625,"module4_exposed"
"Dolosigranulum",0.131333037186626,0.245545907339423,0.466666666666667,0.4,0.5625,"module4_exposed"
"Gemella",0.124784478767333,0.235687261026894,0.466666666666667,0.4,0.5625,"module4_exposed"
"OPV_IPV",0.116475824123928,0.218332536922123,0.466666666666667,0.4,0.5625,"module4_exposed"
"Enterobacter",0.088458606242272,0.165614346087338,0.466666666666667,0.4,0.5625,"module4_exposed"
"Haemophilus",0.0815981988049597,0.155257595352639,0.466666666666667,0.4,0.5625,"module4_exposed"
"Clostridium_sensu_stricto_1",0.0799221056752722,0.16399884945768,0.466666666666667,0.4,0.5625,"module4_exposed"
"Sutterella",0.0776885241186973,0.161092360196661,0.466666666666667,0.4,0.5625,"module4_exposed"
"Bacteroides",0.0750943245941566,0.138393050888914,0.466666666666667,0.4,0.5625,"module4_exposed"
"Prevotella",0.0714802276452571,0.144044527290767,0.466666666666667,0.4,0.5625,"module4_exposed"
"sex_baby",0.0680975712793439,0.154106957748989,0.466666666666667,0.4,0.5625,"module4_exposed"
"Atopobium",0.0648273861303871,0.121831155301493,0.466666666666667,0.4,0.5625,"module4_exposed"
"Megasphaera",0.0645748177332549,0.123151458206753,0.466666666666667,0.4,0.5625,"module4_exposed"
"Collinsella",0.061804815935122,0.114260298375826,0.466666666666667,0.4,0.5625,"module4_exposed"
"unassigned_Lachnospiraceae",0.0610701772470949,0.111453185729556,0.466666666666667,0.4,0.5625,"module4_exposed"
"Granulicatella",0.0605818781634518,0.118828116580282,0.466666666666667,0.4,0.5625,"module4_exposed"
"parity",0.0605397844985914,0.11281241042446,0.466666666666667,0.4,0.5625,"module4_exposed"
"unassigned_Enterobacteriaceae",0.0599173632692399,0.125437087851021,0.466666666666667,0.4,0.5625,"module4_exposed"
"place_delivery",0.059728681092937,0.125516178300832,0.466666666666667,0.4,0.5625,"module4_exposed"
"Clostridioides",0.0577619627852449,0.105306405920557,0.466666666666667,0.4,0.5625,"module4_exposed"
"Anaerococcus",0.0518403168079847,0.0986254678005094,0.466666666666667,0.4,0.5625,"module4_exposed"
"Acinetobacter",0.0507019547195297,0.0989704853888231,0.466666666666667,0.4,0.5625,"module4_exposed"
"Eggerthella",0.0488518557733407,0.0987922386346634,0.466666666666667,0.4,0.5625,"module4_exposed"
"age_at_first_dose",0.0488056722100782,0.0921608987576741,0.466666666666667,0.4,0.5625,"module4_exposed"
"Finegoldia",0.0430468937291411,0.083387500090947,0.466666666666667,0.4,0.5625,"module4_exposed"
"water_treat_wami",0.0413509701002741,0.0947036350409732,0.466666666666667,0.4,0.5625,"module4_exposed"
"Dialister",0.0381533782195922,0.0786852102651145,0.466666666666667,0.4,0.5625,"module4_exposed"
