"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"MB1_IgA",0.43732147719349,0.786193909897885,0.55,0.5,0.65,"module4"
"BM1_IgA",0.311436878977938,0.575421386808289,0.55,0.5,0.65,"module4"
"Streptococcus",0.30387481484487,0.54566973908638,0.55,0.5,0.65,"module4"
"Staphylococcus",0.297445901828127,0.544197673563322,0.55,0.5,0.65,"module4"
"MPO_BS5_Concngml",0.296311591149562,0.525246630601577,0.55,0.5,0.65,"module4"
"Klebsiella",0.279364000621663,0.496579189394818,0.55,0.5,0.65,"module4"
"Veillonella",0.275935664830735,0.502563729244712,0.55,0.5,0.65,"module4"
"A1AT_BS5_Concugml",0.274056225709231,0.501032336712121,0.55,0.5,0.65,"module4"
"MPO_BS3_Concngml",0.262656963073971,0.468970429606693,0.55,0.5,0.65,"module4"
"MB1_IgG",0.248487481006882,0.445809670015189,0.55,0.5,0.65,"module4"
"Bifidobacterium",0.24793838201762,0.439070404383247,0.55,0.5,0.65,"module4"
"AG_Concugml",0.244499401444515,0.433588426908821,0.55,0.5,0.65,"module4"
"A1AT_BS3_Concugml",0.242287186824854,0.434308121456164,0.55,0.5,0.65,"module4"
"HAZ_6_8w",0.234256961503922,0.426082270172575,0.55,0.5,0.65,"module4"
"Escherichia.Shigella",0.233500763209575,0.4136942504866,0.55,0.5,0.65,"module4"
"CB1_IgG",0.22695747434041,0.40631396169878,0.55,0.5,0.65,"module4"
"OPV_IPV",0.22525418256815,0.415638368630341,0.55,0.5,0.65,"module4"
"household_income",0.21930602155346,0.409776015490279,0.55,0.5,0.65,"module4"
"Rothia",0.214140811720829,0.394611876100955,0.55,0.5,0.65,"module4"
"mother_weight",0.213472974833914,0.378865280577809,0.55,0.5,0.65,"module4"
"birth_weight",0.210052002956567,0.374573350485789,0.55,0.5,0.65,"module4"
"age_mother",0.200351039158768,0.357827619491611,0.55,0.5,0.65,"module4"
"Enterococcus",0.200209563896833,0.369166317831088,0.55,0.5,0.65,"module4"
"maternal_education",0.192579092202432,0.367053930008047,0.55,0.5,0.65,"module4"
"Enterobacter",0.18549061861362,0.347492882954488,0.55,0.5,0.65,"module4"
"Lactobacillus",0.1821609767473,0.325646071778672,0.55,0.5,0.65,"module4"
"Corynebacterium_1",0.178715514126123,0.329755798161845,0.55,0.5,0.65,"module4"
"unassigned_Lachnospiraceae",0.174448173154975,0.33416418603477,0.55,0.5,0.65,"module4"
"pre_exposed",0.171819608489482,0.346428165313545,0.55,0.5,0.65,"module4"
"Gemella",0.149937457823703,0.307974694915379,0.55,0.5,0.65,"module4"
"Dolosigranulum",0.133639300609798,0.246879026203952,0.55,0.5,0.65,"module4"
"Haemophilus",0.12033462806045,0.226369210452577,0.55,0.5,0.65,"module4"
"place_delivery",0.111816486320255,0.234262397145115,0.55,0.5,0.65,"module4"
"Bacteroides",0.10636317620905,0.19472214574792,0.55,0.5,0.65,"module4"
"Finegoldia",0.0958950896726892,0.185744136424782,0.55,0.5,0.65,"module4"
"Actinomyces",0.0955026280829913,0.180157671355515,0.55,0.5,0.65,"module4"
"Acinetobacter",0.0942841883969363,0.183023525056199,0.55,0.5,0.65,"module4"
"Collinsella",0.0918395010010956,0.170739742711639,0.55,0.5,0.65,"module4"
"Atopobium",0.0879543065886416,0.164239769983979,0.55,0.5,0.65,"module4"
