feature_id	feature	feature description	feature_full
p1	unmapped	unmapped	unmapped
p2	ungrouped	ungrouped	ungrouped
p3	1CMET2-PWY	folate transformations III (E. coli)	folate_transformations_III_(E._coli)_(1CMET2-PWY)
p4	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	4-hydroxyphenylacetate_degradation_(3-HYDROXYPHENYLACETATE-DEGRADATION-PWY)
p5	AEROBACTINSYN-PWY	aerobactin biosynthesis	aerobactin_biosynthesis_(AEROBACTINSYN-PWY)
p6	ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	superpathway_of_allantoin_degradation_in_yeast_(ALLANTOINDEG-PWY)
p7	ANAEROFRUCAT-PWY	homolactic fermentation	homolactic_fermentation_(ANAEROFRUCAT-PWY)
p8	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	glycolysis_III_(from_glucose)_(ANAGLYCOLYSIS-PWY)
p9	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	superpathway_of_arginine_and_polyamine_biosynthesis_(ARG+POLYAMINE-SYN)
p10	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation_(ARGDEG-PWY)
p11	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	L-ornithine_biosynthesis_II_(ARGININE-SYN4-PWY)
p12	ARGORNPROST-PWY	0	_(ARGORNPROST-PWY)
p13	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	L-arginine_biosynthesis_I_(via_L-ornithine)_(ARGSYN-PWY)
p14	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	L-arginine_biosynthesis_II_(acetyl_cycle)_(ARGSYNBSUB-PWY)
p15	ARO-PWY	chorismate biosynthesis I	chorismate_biosynthesis_I_(ARO-PWY)
