"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t111015",0.107827255067481,0.20243157093042,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",49,104,47.1,0.00804903846153846,0.0493747134590527,22,45,48.9,0.0351133333333333,0.2061879588231,0.860029334899748,0.842268056095382,0.876787741142412,0.473301254117592,0.999151727310001,0.966682289042135,0.941412309972245,0.901966833551021,0.0270642948717949,1.8,TRUE,TRUE,32,0,45,0.5,0.444444444444444,0.611111111111111,0.00251180946139247,0.00217082582809008,0.249118253174604,"seroconv1",0.626657222739178,149,71,0.00215326744913215,0.00224894717337668,0.339964541486641,0.719233670532303,0.626657222739178,0.733069089513691,"India (exposed)","IND (neo+)","Genus"
"2","t1260",0.12807816563603,0.233522571084793,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",85,104,81.7,0.00369423076923077,0.00724257674099082,31,45,68.9,0.00182444444444444,0.00349578678590747,0.090330413508134,0.0862699921313566,0.119305575737403,0.156180562395989,0.713610266714259,0.681532937837717,0.606874327165439,0.830436907751911,-0.00186978632478633,-12.8,FALSE,FALSE,23,0,45,0.5,0.444444444444444,0.611111111111111,-0.00124744164504834,0.00072145138734233,0.0858955172930472,"seroconv1",0.626657222739178,149,116,-0.00121350521239572,0.000737192309848672,0.101951095068857,0.656725775902061,0.626657222739178,0.660978266472667,"India (exposed)","IND (neo+)","Genus"
"3","t1270",0.0635784504071816,0.126776803712173,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",24,104,23.1,0.000122115384615385,0.000309699738948397,17,45,37.8,0.000273333333333333,0.000888410224655664,0.0744818438465405,0.0675244699735739,0.0812110881732254,0.106635368645113,0.653785073764077,0.59271479199026,0.541329521053789,0.830436907751911,0.000151217948717949,14.7,TRUE,TRUE,59,0,45,0.5,0.444444444444444,0.611111111111111,0.000324979307210188,0.000205294547887223,0.115572749010768,"seroconv1",0.626657222739178,149,41,0.000312226916001478,0.000213238525569794,0.145345704812034,0.676053664961783,0.626657222739178,0.660978266472667,"India (exposed)","IND (neo+)","Genus"
"4","t1290",0.196997523170966,0.35478522454991,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",104,104,100,0.229819230769231,0.453338831055858,45,45,100,0.611786666666667,1.91023090079803,NA,NA,NA,0.858892418335681,NA,NA,NA,0.970232070942539,0.381967435897436,0,TRUE,FALSE,6,1,45,0.5,0.444444444444444,0.611111111111111,0.0103124299503862,0.00791106924675022,0.194426806564393,"seroconv1",0.626657222739178,149,149,0.0100739855665063,0.00817275342303575,0.219750518599828,0.689766988800754,0.626657222739178,0.718415156960975,"India (exposed)","IND (neo+)","Genus"
"5","t1297617",0.03974450741792,0.0734022394346209,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",37,104,35.6,0.00294134615384615,0.0129738842278126,11,45,24.4,0.000951111111111111,0.0040858192803793,0.251768892613054,0.18439913942907,0.131259797529933,0.167478200289293,0.962417300848732,0.766712211310345,0.609972000286161,0.830436907751911,-0.00199023504273504,-11.2,FALSE,FALSE,77,0,45,0.5,0.444444444444444,0.611111111111111,-0.000945984390089432,0.000805750627542899,0.242277091570665,"seroconv1",0.626657222739178,149,48,-0.0010915695542122,0.000824322978068682,0.187563696539471,0.686834839176739,0.626657222739178,0.660978266472667,"India (exposed)","IND (neo+)","Genus"
"6","t1316412",0.254941533891384,0.479866089787829,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",104,104,100,4.67979519230769,6.43198131903562,45,45,100,4.84168222222222,4.82505608532118,NA,NA,NA,0.883309958222258,NA,NA,NA,0.970232070942539,0.16188702991453,0,TRUE,FALSE,4,1,45,0.5,0.444444444444444,0.611111111111111,0.00418028649207199,0.020434703722904,0.838192623857366,"seroconv1",0.913415038818924,149,149,0.0161730003659666,0.0205673452114515,0.43297649903576,0.756226077083005,0.913415038818924,0.733069089513691,"India (exposed)","IND (neo+)","Genus"
"7","t1335613",0.0516273044737183,0.0959660698730309,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",42,104,40.4,0.00994134615384615,0.0414284612327325,14,45,31.1,0.0132266666666667,0.0509877855248419,0.357594655506727,0.28466975220603,0.147246268702505,0.385754924089246,0.962417300848732,0.803175372295586,0.626323734511258,0.855481642576884,0.00328532051282051,-9.3,TRUE,FALSE,65,0,45,0.5,0.444444444444444,0.611111111111111,0.000158361688323677,0.00173360508620038,0.927340288455869,"seroconv1",0.989275526343642,149,56,-0.000491082514433726,0.00175963514763896,0.780587934225765,0.93479923827111,0.989275526343642,0.934506681819578,"India (exposed)","IND (neo+)","Genus"
"8","t1351",0.190854954422799,0.336408853134642,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",100,104,96.2,1.77045,9.13863538213298,44,45,97.8,0.914346666666667,2.15863644277838,NA,NA,NA,0.996701004160958,NA,NA,NA,0.996701004160958,-0.856103333333333,1.59999999999999,FALSE,TRUE,10,1,45,0.5,0.444444444444444,0.611111111111111,-0.0110081860161898,0.0224431408759694,0.624516978882289,"seroconv1",0.769332510217313,149,144,0.00291394671854593,0.0221140263061394,0.895353396843822,0.973156240083493,0.769332510217313,0.957929817076319,"India (exposed)","IND (neo+)","Genus"
"9","t1358",0.0725735567309936,0.133456037638162,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",46,104,44.2,0.00606346153846154,0.0360486404351372,19,45,42.2,0.000586666666666667,0.00153572606458787,0.858774232422095,0.820452294871034,0.765431105505794,0.649640178483675,0.999151727310001,0.966682289042135,0.929404985128998,0.970232070942539,-0.00547679487179487,-2,FALSE,FALSE,53,0,45,0.5,0.444444444444444,0.611111111111111,-0.00151291104056903,0.00110771627919474,0.174090026330562,"seroconv1",0.626657222739178,149,65,-0.000665202162397348,0.00106228904838024,0.532191061290636,0.789204779526756,0.626657222739178,0.747083139226511,"India (exposed)","IND (neo+)","Genus"
"10","t1379",0.166989991497942,0.300197702038581,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",98,104,94.2,0.00616923076923077,0.0125320643269871,38,45,84.4,0.0123333333333333,0.0366427904356245,0.0631861004559341,0.0611296784862654,0.0667891668695823,0.379366877914013,0.653785073764077,0.59271479199026,0.541329521053789,0.855481642576884,0.00616410256410256,-9.8,TRUE,FALSE,15,1,45,0.5,0.444444444444444,0.611111111111111,0.00155521120178103,0.00113393338841604,0.172303057229448,"seroconv1",0.626657222739178,149,136,0.0015306343187664,0.00117396323649564,0.194405372491961,0.686834839176739,0.626657222739178,0.660978266472667,"India (exposed)","IND (neo+)","Genus"
